Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Chinese Sleep Chant,Coldplay," Fall asleep Fall asleep Sleep satisfied Sleep satisfied Fall asleep Fall asleep Sleep satisfied Sleep satisfied  Oh, sleep Sleep Sleep Sleep Sleep Sleep satisfied Sleep satisfied  Fall asleep Fall asleep Sleep crucify Sleep crucify Fall asleep Fall asleep Sleep satisfied Sleep satisfied  Sleep Sleep Sleep Sleep Sleep Sleep satisfied Sleep satisfied",n,51,92.84,50.00,18.79,99.00,51.00,23.53,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,0.00,0.00,0.00,0.00,19.61,19.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.82,58.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,15.69,0.00,0.00,0.00,0.00,0.00,0.00,3.92,3.92,1.96,0.00,0.00,0.00,1.96,0.00,1.96,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colour Spectrum,Coldplay,"  Because each Has been sent As a guide",n,8,37.39,89.42,7.84,25.77,8.00,12.50,87.50,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,25.00,0.00,25.00,0.00,37.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Death And All His Friends,Coldplay," All winter, we got carried Away over on the rooftops, let's get married All summer, we just hurried So come over, just be patient and don�t worry So come over, just be patient and don�t worry So come over, just be patient and don�t worry And don�t worry  No, I don�t wanna battle from beginning to end I don�t want a cycle of recycled revenge I don�t wanna follow Death and all of his friends No, I don�t wanna battle from beginning to end I don�t want a cycle of recycled revenge I don�t wanna follow Death and all of his friends",n,102,10.28,24.62,34.61,1.00,102.00,14.71,94.12,58.82,10.78,10.78,5.88,2.94,0.00,1.96,0.00,0.00,2.94,13.73,16.67,6.86,8.82,11.76,28.43,0.00,0.00,0.00,0.00,3.92,7.84,0.00,7.84,3.92,3.92,0.00,7.84,0.98,1.96,0.00,1.96,9.80,0.00,0.00,5.88,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.73,5.88,0.00,5.88,1.96,0.00,1.96,25.49,3.92,20.59,5.88,5.88,8.82,0.00,0.00,0.00,0.00,0.00,1.96,3.92,0.00,0.00,0.00,0.00,0.00,18.63,0.00,7.84,0.00,0.00,0.00,0.00,0.00,0.00,10.78,0.00,0.00
Don't Let It Break Your Heart,Coldplay," And if I lost the map If I lost it all Or fell into the trap Then she'd call  When you're tired of racing and you Found you never left the start Come on baby, don�t let it break your heart  Though heavily we bled Still on we crawl Trying to catch a cannonball And a slow burning tide Through my veins is flowing From my shipwreck I heard her call And she sang  When you're tired of aiming your arrows Still you never hit the mark And even if your aims are shadows Still we're never gonna part Come on baby, don�t let it break your heart  Oh, oh oh, oh oh, oh Don�t let it break your heart Oh, oh oh, oh oh, oh Don�t let it break your heart  Don't let it break your heart",n,138,5.04,92.62,72.78,8.47,138.00,5.07,91.30,55.07,21.01,16.67,3.62,2.17,8.70,2.17,0.00,4.35,4.35,6.52,10.87,7.25,9.42,5.80,21.01,2.17,0.00,1.45,0.00,1.45,1.45,0.00,1.45,0.00,0.00,1.45,16.67,1.45,0.00,2.17,0.00,7.97,0.72,0.00,2.17,3.62,2.90,3.62,2.17,0.00,1.45,0.72,5.80,4.35,1.45,0.00,0.00,4.35,2.17,2.17,0.00,0.00,0.00,5.07,9.42,1.45,21.01,5.80,4.35,7.97,0.00,0.72,0.00,0.00,0.00,0.00,9.42,0.00,0.72,0.00,8.70,0.00,12.32,0.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,6.52,0.00,0.00
Everglow,Coldplay," Oh, they say people come, say people go This particular diamond was extra special And though you might be gone, and the world may not know Still I see you, celestial  Like a lion you ran, a goddess you rolled Like an eagle, you circle, in perfect purple So how come things move on? How come cars don�t slow? When it feels like the end of my world When I should, but I can�t let you go  But when I�m cold, cold When I�m cold, cold There�s a light that you give me when I�m in shadow There�s a feeling you give me, everglow  Like brothers in blood, sisters who ride And we swore on that night we�d be friends 'til we die But the changing of winds, and the way waters flow Life is short as the falling of snow And now, I�m gonna miss you, I know  But when I�m cold, cold In water rolled, salt And I know that you�re with me and the way you will show And you�re with me wherever I go And you give me this feeling, this everglow  Oh, what I wouldn't give for just a moment to hold Yeah, I live for this feeling, this everglow  So if you love someone, you should let them know Oh, the light that you left me will everglow",n,225,6.04,84.67,96.06,41.86,75.00,9.33,92.00,59.56,24.44,18.22,8.89,1.33,7.11,0.00,0.89,6.22,5.78,8.44,10.67,7.56,12.00,1.78,23.56,5.78,2.67,4.89,0.00,0.44,1.78,1.33,0.44,0.00,0.00,0.44,16.00,0.89,0.44,0.89,0.44,11.56,3.56,1.33,1.78,1.78,0.44,3.56,8.89,3.11,0.89,4.44,2.67,0.44,0.89,0.00,0.89,4.00,3.11,0.00,0.44,0.44,0.00,1.78,17.33,2.22,17.33,6.67,5.78,5.33,0.00,0.00,0.00,0.00,0.44,0.44,2.22,0.00,0.44,0.44,1.33,0.00,17.33,0.00,10.22,0.00,0.00,0.89,0.00,0.00,0.00,6.22,0.00,0.00
Fly On,Coldplay," A flock of birds Hovering above Just a flock of birds That's how you think of love  And I always Look up to the sky Pray before the dawn Cause they fly always Sometimes they arrive Sometimes they are gone They fly on  A flock of birds Hovering above Into smoke I'm turned and rise Following them up  Still I always Look up to the sky Pray before the dawn Cause they fly away One minute they arrive Next you know they're gone They fly on Fly on  So fly on, ride through Maybe one day I'll fly next to you Fly on, ride through Maybe one day I can fly with you Fly on Fly on",n,117,91.97,86.68,99.00,41.21,117.00,5.98,91.45,52.99,15.38,14.53,4.27,0.00,3.42,0.00,6.84,0.85,5.98,22.22,5.13,5.13,3.42,0.00,23.93,3.42,1.71,0.85,2.56,0.00,0.85,0.85,0.00,0.00,0.00,0.00,11.97,0.00,0.00,0.00,0.00,10.26,1.71,2.56,0.00,3.42,2.56,0.00,1.71,1.71,0.00,0.00,1.71,0.00,0.00,0.00,0.85,5.13,0.85,0.00,4.27,0.00,0.00,2.56,9.40,2.56,41.88,17.09,14.53,11.11,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,3.42,0.00,0.00
Glass of Water,Coldplay," Scared of losing all the time He wrote it in a letter He was a friend of mine He heard you could see your future Inside a glass of water The ripples and the lines And he asked, will I see heaven in mine? That is just the way it was Nothing could be better And nothing ever was Oh, they say you can see your future Inside a glass of water The riddles and the rhymes Will I see heaven in mine?  Son, don't ask Neither half full nor empty Is your glass Cling to the mast Spend your whole life living In the past Going nowhere fast  So he wrote it on a wall The hollowest of halos Is no halo at all Television selling plastic Figurines of leaders Saying nothing at all And you chime, stars in heaven align  Son, don't ask Neither half full nor empty Is your glass Cling to the mast Spend your whole life living In the past Going nowhere fast  And what are we drinking when we're done? Glasses of water",n,179,54.29,84.28,33.45,25.77,44.75,9.50,88.83,55.87,15.08,12.29,2.79,1.12,5.03,2.79,0.56,2.79,8.94,11.17,9.50,2.23,5.59,6.70,20.67,4.47,1.68,1.12,1.12,2.79,4.47,2.23,2.23,0.56,0.00,1.68,15.64,1.12,0.56,0.00,3.91,8.94,0.56,0.00,1.12,0.00,5.03,2.23,3.91,2.23,1.68,0.00,4.47,0.00,2.23,0.00,2.23,4.47,1.68,2.79,0.56,0.56,0.56,5.59,10.61,3.35,16.76,2.23,10.61,5.03,1.68,1.12,0.00,1.68,1.68,0.00,0.56,0.00,0.00,0.00,0.56,0.00,6.15,0.00,2.79,0.00,0.00,1.68,0.00,0.00,0.00,1.68,0.00,0.00
God Put A Smile Upon Your Face,Coldplay," Where do we go, nobody knows I've got to say I'm on my way down God give me style and give me grace God put a smile upon my face Where do we go to draw the line I've got to say I wasted all your time Oh honey honey Where do I go to fall from grace God put a smile upon your face yeah  And ah, when you work it out I'm worse than you Yeah, when you work it out I wanted to And ah, when you work out where to draw the line Your guess is as good as mine  Where do we go, nobody knows Don't ever say you're on your way down when God gave you style and gave you grace And put a smile upon your face oh yeah  And ah, when you work it out I'm worse than you Yeah, when you work it out I wanted to And ah, when you work out where to draw the line Your guess is as good as mine  It's as good as mine, It's as good as mine It's as good as mine As good as mine, as good as mine As good as mine, as good as mine  Where do we go, nobody knows Don't ever say you're on your way down when God gave you style and gave you grace And put a smile upon your face",n,235,15.19,93.17,94.57,99.00,235.00,0.00,95.74,61.70,24.68,20.43,9.36,1.70,9.36,0.00,0.00,4.26,2.98,19.15,8.09,7.23,14.89,2.13,20.00,9.36,9.36,6.38,0.00,0.43,8.09,7.23,0.85,0.00,0.00,0.00,16.17,0.00,0.85,0.00,0.00,5.11,1.28,0.00,0.85,0.85,1.28,0.85,2.55,0.00,1.70,0.00,1.70,1.70,0.00,0.00,0.00,13.19,1.70,2.55,3.40,4.68,0.85,3.40,18.30,0.00,20.00,4.26,11.06,4.68,2.55,0.00,0.00,0.00,2.13,0.00,4.26,0.00,0.00,3.40,2.55,0.00,10.21,0.00,5.11,0.00,0.00,0.00,0.00,0.00,0.00,5.11,0.00,0.00
Green Eyes,Coldplay," Honey you are a rock upon which I stand And I come here to talk I hope you understand The green eyes Yeah the spotlight, shines upon you And how could anybody deny you  I came here with a load And it feels so much lighter now I've met you And honey you should know That I could never go on without you Green eyes  Honey you are the sea upon which I float And I came here to talk, I think you should know That green eyes You're the one that I wanted to find And anyone who tried to deny you Must be out of their minds  Because I came here with a load And it feels so much lighter since I've met you And honey you should know That I could never go on without you Green eyes Green eyes  Honey you are a rock Upon which I stand",n,152,11.24,93.47,50.35,37.41,152.00,5.26,94.08,63.82,27.63,19.74,9.21,0.00,9.87,0.00,0.66,7.89,5.26,11.18,9.21,6.58,7.89,2.63,26.32,4.61,1.32,3.29,0.66,1.32,0.66,0.66,0.00,0.00,0.00,0.00,18.42,0.00,3.29,0.00,0.00,17.11,5.26,1.97,5.92,1.97,1.97,1.32,11.18,6.58,0.00,1.32,3.29,3.29,0.00,0.00,0.00,3.29,1.32,0.66,1.32,0.00,0.00,4.61,15.79,0.66,11.18,3.95,4.61,2.63,0.00,1.32,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00,3.29,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.00
Hurts Like Heaven,Coldplay,"  Written in graffiti on a bridge in a park ""Do you ever get the feeling that you�re missing the mark?"" It's so cold it's so cold It's so cold it's so cold Written up in marker on a factory sign ""I struggle with the feeling that my life isn�t mine"" It's so cold it's so cold It's so cold it's so cold See the arrow they shot trying to tear us apart Take the fire from my belly and the beat from my heart Still I won�t let go Still I won�t let go Of you 'Cos you do  Oh you use your heart as a weapon And it hurts like heaven  On every street every car every surface a name Tonight the streets are ours And we�re writing and saying Don�t let em take control No we won�t let em take control Yes I feel a little bit nervous Yes I feel nervous and I cannot relax How come they�re out to get us How come they�re out when they don�t know the facts So on a concrete canvas under cover of dark On a concrete canvas I�ll go making my mark Armed with a spraycan soul I�ll be armed with a spraycan soul And you Oh you  Oh you use your heart as a weapon And it hurts like heaven  Yeah it's true When you Use your heart as a weapon Then it hurts like heaven Oh it hurts like heaven",n,243,21.20,74.50,49.92,4.68,121.50,8.23,92.18,56.79,19.34,13.17,5.35,2.06,4.94,0.00,0.82,6.17,8.23,11.52,11.93,6.58,10.29,3.29,23.05,6.17,2.88,1.65,0.00,1.65,7.00,2.47,4.53,1.23,1.23,2.06,9.47,0.00,0.00,0.00,0.00,9.88,2.06,3.70,0.00,0.41,2.47,1.23,8.23,0.82,0.41,7.00,2.47,2.06,0.41,0.00,0.00,7.00,2.06,0.82,2.47,2.06,0.00,0.82,15.64,2.88,12.35,2.47,7.00,2.88,1.65,0.41,0.00,0.00,2.47,0.00,3.70,0.00,0.82,1.23,1.65,0.00,11.11,0.00,0.00,0.00,0.00,0.41,0.00,0.00,1.65,9.05,0.00,0.00
Hypnotised,Coldplay," Been rusting in the rubble Running to a faint Need a brand new coat of paint Found myself in trouble Thinking about what ain't Never gonna be a saint  Saying float like an eagle Fall like the rain Pouring to put out the pain Oh again and again  Now I'm hyp, hypnotised Yeah I trip, when I look in your eyes Oh I'm hyp, hypnotized Yeah I slip and I'm mesmerized  It's easy to be lethal I'm learning from the news It's a guidebook for the blues Saying it's the very same steeple People want to choose They just see it from different views  And threading the needle Fixing my flame Oh now I'm moved to exclaim Oh again, and again  How I'm hyp, hypnotised Yeah I trip, when I look in your eyes Oh I'm hyp, hypnotized Yeah I lift and I'm mesmerized  Oh again, and again Oh I'm hyp, hypnotised Yeah I lift to a permanent high Oh I'm hyp, hypnotised It was dark Now it's sunrise",n,169,34.62,18.74,94.81,17.21,169.00,12.43,79.88,50.89,17.16,13.02,11.24,0.00,1.18,0.00,0.59,4.14,7.69,10.65,11.24,9.47,5.33,1.18,20.71,3.55,2.37,2.37,0.00,0.00,1.78,0.59,1.18,0.00,0.00,0.00,3.55,0.00,0.00,0.00,0.00,5.92,2.37,0.59,1.18,0.00,0.59,1.18,5.92,4.14,1.18,0.59,2.37,1.18,1.18,0.00,0.00,1.18,0.00,0.00,0.59,0.00,0.59,2.37,14.79,0.59,17.16,4.73,3.55,8.88,0.59,0.59,0.00,0.00,0.59,0.59,8.28,0.00,0.59,2.96,4.73,0.00,14.79,0.00,5.92,0.00,0.00,0.00,0.00,0.00,0.00,8.88,0.00,0.00
In My Place,Coldplay," In my place, in my place Were lines that I couldn't change I was lost, oh yeah I was lost, I was lost Crossed lines I shouldn't have crossed I was lost, oh yeah  Yeah, how long must you wait for it? Yeah, how long must you pay for it? Yeah, how long must you wait for it? For it  I was scared, I was scared Tired and underprepared But I wait for it And if you go, if you go And leave me down here on my own Well I'll wait for you, yeah  Yeah, how long must you wait for it? Yeah, how long must you pay for it? Yeah, how long must you wait for it? For it  Sing it please, please, please Come back, come sing to me To me, me Come on and sing it out Now, now Come on and sing it out To me, me Come back, come sing it  In my place, in my place Were lines that I couldn't change I was lost, oh yeah Oh, yeah...",n,176,6.72,26.60,96.40,6.67,25.14,3.41,96.02,61.93,26.70,18.18,13.07,0.00,5.11,0.00,0.00,8.52,0.00,13.07,11.36,6.82,7.95,1.70,25.57,1.70,0.00,3.41,0.00,0.00,6.25,2.27,3.98,1.14,0.00,2.84,5.11,0.00,0.00,0.00,0.00,11.36,0.00,4.55,6.25,1.14,3.41,1.70,2.84,0.00,2.84,0.00,0.57,0.00,0.57,0.00,0.00,3.41,0.00,2.84,0.57,0.00,0.00,7.95,13.07,0.57,23.30,6.25,12.50,5.68,1.14,2.84,0.00,1.14,0.00,0.00,9.09,0.00,0.00,6.25,2.84,0.00,20.45,1.70,13.07,0.00,0.00,3.41,0.00,0.00,0.00,2.27,0.00,0.00
Kaleidoscope,Coldplay,"  This being human is a guest house Every morning a new arrival A joy, a depression, a meanness Some momentary awareness comes As an unexpected visitor Welcome and entertain them all! Be grateful for whoever comes Because each has been sent as a guide ",n,44,87.28,91.35,31.94,99.00,22.00,29.55,93.18,45.45,6.82,2.27,0.00,0.00,0.00,0.00,2.27,4.55,15.91,6.82,11.36,0.00,9.09,0.00,18.18,9.09,4.55,2.27,0.00,9.09,11.36,9.09,2.27,0.00,0.00,2.27,13.64,0.00,2.27,0.00,0.00,11.36,2.27,2.27,0.00,2.27,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,2.27,0.00,0.00,0.00,0.00,4.55,11.36,0.00,15.91,9.09,0.00,6.82,0.00,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,0.00,4.55,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00
Life In Technicolor,Coldplay," There's a wild wind blowing Down the corner of my street Every night there, the headlights are glowing There's a cold war coming On the radio, I heard Baby, it's a violent world  Oh, love, don't let me go Won't you take me where the street lights glow? I can hear it coming I can hear the siren sound Now my feet won't touch the ground  Time came a-creeping Oh and time's a loaded gun Every road is a ray of light It goes o-o-o-o-o-o-on Time only can lead you on, still it's Such a beautiful night  Oh, love, don't let me go Won't you take me where the street lights glow? I can hear it coming Like a serenade of sound Now my feet won't touch the ground   Gravity, release me And don't ever hold me down Now my feet won't touch the ground...",n,152,37.39,27.70,96.09,37.41,50.67,5.92,91.45,51.32,14.47,11.18,9.21,0.00,1.97,0.00,0.00,3.29,11.18,5.92,13.16,7.89,1.32,5.26,19.08,1.97,0.66,1.32,0.00,1.32,3.29,1.97,1.32,0.00,1.32,0.00,6.58,0.66,0.00,0.00,0.00,2.63,0.00,0.66,0.00,0.00,1.97,0.00,11.84,4.61,4.61,2.63,3.29,1.97,0.00,0.00,0.00,5.26,1.32,0.66,2.63,1.32,0.00,1.32,15.79,5.26,22.37,5.26,10.53,6.58,0.66,0.66,0.00,0.00,0.00,0.66,5.92,0.00,3.95,0.00,1.97,0.00,22.37,1.97,5.92,0.00,0.00,1.32,0.00,4.61,0.00,8.55,0.00,0.00
Lovers in Japan / Reign Of Love,Coldplay,"Lovers In Japan  Lovers keep on the road you're on Runners until the race is run Soldiers, you've got to soldier on Sometimes even the right is wrong  They are turning my head out To see what I'm all about Keeping my head down To see what it feels like now But I have no doubt One day we're gonna get out    Tonight maybe we're gonna run Dreaming of the Osaka sun Ohhhh ohh, ohh... Dreaming of when the morning comes  They are turning my head out To see what I'm all about Keeping my head down To see what it feels like now But I have no doubt One day the sun will come out Reign of Love  Reign of love I can't let go To the sea I offer this heavy load Locust wind Lift me up I'm just a prisoner in a reign of love  Locust wind Here I stop How I wish I'd spoken up To a reign of love  Reign of love by the church we're waiting Reign of love on my knees go praying How I wish I'd spoken up Away get carried on a reign of love",n,194,80.92,50.00,97.18,81.50,97.00,8.25,92.78,54.12,16.49,12.89,9.28,1.55,1.03,0.00,1.03,3.61,6.19,20.10,7.73,5.67,3.09,1.55,22.16,1.03,1.03,3.61,1.03,1.03,6.19,4.64,1.55,1.03,0.00,0.00,9.79,0.00,1.03,0.00,0.00,7.73,1.03,1.03,1.03,2.06,1.03,1.55,4.64,2.06,1.03,1.55,7.22,2.58,0.00,1.03,0.00,18.04,6.70,0.00,7.73,1.55,2.06,2.58,15.98,3.61,21.65,5.15,9.79,6.70,0.00,1.55,0.00,0.00,1.03,0.00,2.58,0.00,1.03,0.00,1.55,0.00,8.25,1.55,1.03,0.00,0.00,0.00,0.00,0.00,0.00,5.67,0.00,0.00
M.M.I.X.,Coldplay,,n,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miracles,Coldplay," From up above I heard The angels sing to me these words And sometimes, in your eyes I see the beauty in the world  Oh, now I'm floating so high I blossom and die Send your storm and she lightning to strike Me between the eyes Eyes  Sometimes the stars decide To reflect in puddles in the dirt When I look in your eyes I forget all about what hurts  Oh, now I'm floating so high I blossom and die Send your storm and your lightning to strike Me between the eyes And cry   Oh hey, I'm floating up above the world now Oh hey, I'm floating up above the world now",n,112,71.61,60.57,98.92,13.64,112.00,12.50,85.71,55.36,18.75,16.96,11.61,0.00,4.46,0.89,0.00,1.79,8.04,16.96,3.57,7.14,8.04,0.00,17.86,1.79,0.00,1.79,0.00,0.89,2.68,0.89,1.79,0.00,0.00,1.79,9.82,0.00,0.00,0.89,0.00,4.46,1.79,0.00,0.00,1.79,0.89,0.00,9.82,7.14,1.79,0.89,4.46,4.46,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.89,15.18,0.00,22.32,1.79,14.29,6.25,0.00,0.89,0.00,0.00,0.89,1.79,5.36,0.00,0.00,0.00,3.57,0.00,8.04,0.00,4.46,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00
Mylo Xyloto,Coldplay,,n,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oceans,Coldplay," Wait for your call, love The call never came Ready to fall up Ready to claim I'm ready for it all, love Ready for the pain Meet under sun and Meet me again In the rain In the rain In the rain The rain  Behind the walls, love I'm trying to change And I'm ready for it all, love I'm ready for the change Meet me in blue sky Meet me again In the rain The rain, the rain The rain, the rain  Got to find yourself alone in this world To find yourself alone ",n,95,98.32,80.00,96.09,99.00,95.00,2.11,89.47,52.63,13.68,10.53,7.37,0.00,3.16,0.00,0.00,3.16,13.68,20.00,4.21,3.16,2.11,1.05,14.74,3.16,0.00,0.00,0.00,2.11,13.68,10.53,3.16,0.00,0.00,2.11,13.68,0.00,0.00,0.00,0.00,8.42,2.11,2.11,0.00,1.05,3.16,0.00,2.11,1.05,0.00,1.05,5.26,0.00,1.05,0.00,0.00,12.63,8.42,1.05,2.11,1.05,0.00,2.11,11.58,0.00,22.11,4.21,12.63,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,6.32,0.00,0.00,0.00,0.00,0.00,0.00,4.21,0.00,0.00
Prospekt's March,Coldplay,"Smoke is rising from the houses People burying their dead I ask somebody what the time is But time doesn't matter to them yet People talking without speaking Trying to take what they can get I ask you if you remember Prospekt, how could I forget? Drums, here it comes Don't you wish that life can be as simple As fish swimming round in a barrel? When you've got the gun Oh when I run, here it comes We're just two little figures in a soup bowl Trying to get to any kind of control But I wasn't one Now here I lie on my own in a separate sky Here I lie on my own in a separate sky I don't wanna die on my own here tonight But here I lie on my own in a separate sky",n,139,27.73,30.73,98.74,25.77,46.33,10.79,89.93,56.83,19.42,15.11,9.35,0.72,2.88,0.00,2.16,4.32,5.76,12.23,8.63,8.63,6.47,3.60,19.42,2.88,1.44,3.60,1.44,0.72,0.00,0.00,0.00,0.00,0.00,0.00,10.79,0.00,0.00,0.00,0.00,15.11,1.44,1.44,2.88,4.32,0.00,6.47,1.44,0.72,0.72,0.72,2.16,0.00,0.72,0.00,1.44,5.76,0.72,1.44,0.72,2.88,0.00,2.88,14.39,2.16,20.14,3.60,11.51,5.04,0.00,1.44,0.72,0.00,0.00,1.44,1.44,0.00,0.00,0.00,0.72,0.00,7.91,0.00,2.16,0.00,0.00,1.44,0.00,0.00,0.00,4.32,0.00,0.00
Rainy Day,Coldplay," Then there was rain The sky wore a veil of gold and gray At night it was the bright of the moon with me Time was just floating on Then there was rain This town's foundations are crumbling To the ground comes a bit of a tumbling And time just floated away We can watch it and stay and we can listen  Oh, rainy day, come round Sometimes I just want it to slow down And we're separated now I'm down But I love it when you come over to the house I love it when you come over to my house  Then there was rain And I spent the night with the Queen of Spain My lonely little heart would've broke again Times were vicious Singing, deeper that the knife goes in the more you win You win but with less than when you begin Deeper that the knife goes in  Oh, rainy day, come round Sometimes I just want it to slow down And we're separated now I'm down But I love it when you come over to the house I love it when you come over to my house",n,192,52.02,68.03,99.00,65.25,192.00,6.25,92.71,59.90,18.23,12.50,6.77,2.08,3.65,0.00,0.00,5.73,7.29,14.58,6.25,7.81,9.38,0.00,16.15,5.73,2.60,2.60,0.00,1.56,5.21,3.65,1.56,0.00,0.52,1.04,8.85,0.00,0.00,0.52,0.00,5.73,0.00,0.00,1.56,1.04,0.00,3.12,3.65,2.60,1.04,1.04,3.12,1.04,0.00,0.00,0.00,9.90,4.17,1.56,5.73,1.04,0.00,5.21,12.50,1.56,28.65,6.77,11.46,11.98,0.52,0.52,2.08,0.52,0.52,0.00,1.04,0.00,0.00,0.00,1.04,0.00,5.73,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00
See You Soon,Coldplay,"So you lost your trust And you never should have And you never should have But don't break your back If you ever see this But don't answer that In a bulletproof vest With the windows all closed I'll be doing my best I'll see you soon In a telescope lens And when all you want is friends I'll see you soon So they came for you They came snapping at your heels They come snapping at your heels But don't break your back If you ever say this But don't answer that In a bullet proof vest With the windows all closed I'll be doing my best I'll see you soon In a telescope lens And when all you want is friends I'll see you soon I'll see you soon And oh, you lost your trust And oh, you lost your trust No, don't lose your trust And oh, you lost your trust",n,154,1.00,99.00,69.30,49.97,154.00,5.84,93.51,64.94,26.62,24.03,5.84,0.00,16.23,0.00,1.95,2.60,3.90,5.84,14.29,9.74,11.04,5.19,25.32,1.30,1.30,1.30,0.00,2.60,7.79,4.55,3.25,0.00,0.00,3.25,23.38,0.00,1.30,0.00,0.00,13.64,1.30,0.00,3.90,1.30,5.84,3.90,4.55,3.90,0.65,0.00,1.30,1.30,0.00,0.00,0.00,9.09,1.30,4.55,1.30,1.30,3.90,3.90,17.53,7.79,16.88,1.95,6.49,8.44,0.00,0.00,1.30,0.00,0.00,0.00,1.95,0.00,0.00,0.00,1.95,0.00,10.39,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,7.79,0.00,0.00
