title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,love,'s,'m,like,You,know,And,night,na,baby,got,yeah,oh,But,Oh,get,wan,'re,bum,We,go,ya,want,Do,one,way,It,let,average characters,uniqueness,average words,num long words,popular
As Real as You and Me,Rihanna,12.0,0.0,2.0,5.0,16.0,0.0,6.0,15.0,8.0,2.0,0.0918367346939,0.0,0.0,0.0816326530612,0.0,0.0,0.0,0.0510204081633,0.0102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0510204081633,0.0,0.0,0.0,0.0,0.0,0.0204081632653,0.0204081632653,0.0,0.0,0.0,0.0,0.0,0.030612244898,0.0,3.78571428571,0.405940594059,177.0,0.112244897959,n
Breakin' Dishes,Rihanna,58.0,23.0,4.0,3.0,11.0,21.0,4.0,38.0,14.0,31.0,0.127586206897,0.0551724137931,0.0,0.00344827586207,0.048275862069,0.0,0.0,0.0241379310345,0.00689655172414,0.0137931034483,0.0,0.00344827586207,0.0,0.0,0.0103448275862,0.00689655172414,0.0,0.00344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1724137931,0.275,121.333333333,0.262068965517,n
Close To You,Rihanna,15.0,7.0,0.0,3.0,6.0,3.0,4.0,10.0,11.0,8.0,0.0882352941176,0.0686274509804,0.0392156862745,0.0196078431373,0.0294117647059,0.0,0.00980392156863,0.0196078431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745,0.0,0.0,0.0,0.0196078431373,0.0,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745,4.41176470588,0.460869565217,168.0,0.245098039216,n
Cockiness (Love It),Rihanna,81.0,39.0,8.0,14.0,22.0,13.0,7.0,90.0,8.0,3.0,0.199513381995,0.00486618004866,0.160583941606,0.00243309002433,0.00486618004866,0.00729927007299,0.00973236009732,0.0,0.0121654501217,0.0,0.00729927007299,0.0,0.00486618004866,0.0,0.0,0.00486618004866,0.0,0.0,0.00243309002433,0.0,0.0,0.00243309002433,0.00486618004866,0.00729927007299,0.00486618004866,0.00243309002433,0.00973236009732,0.00973236009732,0.0,0.0,3.68856447689,0.370454545455,230.0,0.155717761557,n
Cold Case Love,Rihanna,23.0,13.0,0.0,8.0,12.0,5.0,12.0,15.0,8.0,2.0,0.0719424460432,0.0287769784173,0.0431654676259,0.0287769784173,0.0143884892086,0.0,0.0,0.00719424460432,0.0287769784173,0.0,0.0,0.0,0.00719424460432,0.0,0.0,0.0287769784173,0.0,0.0,0.0,0.0,0.0,0.0215827338129,0.0,0.0,0.0,0.0,0.00719424460432,0.00719424460432,0.00719424460432,0.00719424460432,3.88489208633,0.673758865248,100.0,0.158273381295,n
Complicated,Rihanna,31.0,22.0,1.0,16.0,27.0,8.0,7.0,38.0,12.0,1.0,0.0988593155894,0.0114068441065,0.06463878327,0.00380228136882,0.0114068441065,0.0152091254753,0.0456273764259,0.0,0.00760456273764,0.0,0.0266159695817,0.0190114068441,0.0,0.0,0.0,0.0190114068441,0.0304182509506,0.00760456273764,0.0266159695817,0.0532319391635,0.0,0.0,0.0,0.00760456273764,0.0,0.0,0.0,0.0,0.0,0.0,4.2319391635,0.263333333333,28.2142857143,0.167300380228,n
Consideration,Rihanna,39.0,23.0,0.0,4.0,11.0,5.0,0.0,20.0,20.0,9.0,0.0913978494624,0.0430107526882,0.0,0.0,0.0,0.0,0.0161290322581,0.00537634408602,0.0,0.0,0.0,0.00537634408602,0.010752688172,0.0,0.0,0.0,0.0,0.0322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172,0.0,0.0215053763441,0.0,0.0322580645161,4.0752688172,0.434146341463,39.5714285714,0.204301075269,n
Dancing in the Dark,Rihanna,68.0,21.0,2.0,10.0,41.0,17.0,1.0,22.0,8.0,7.0,0.041958041958,0.0314685314685,0.0,0.0,0.0,0.0244755244755,0.0,0.0,0.0034965034965,0.0629370629371,0.0769230769231,0.0,0.0104895104895,0.0,0.0,0.0,0.0,0.0,0.041958041958,0.0,0.0,0.034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32167832168,0.188153310105,410.0,0.174825174825,n
Desperado,Rihanna,17.0,23.0,0.0,11.0,30.0,7.0,5.0,19.0,8.0,8.0,0.0622009569378,0.0813397129187,0.0143540669856,0.0,0.0191387559809,0.0,0.00956937799043,0.00956937799043,0.00956937799043,0.0,0.0239234449761,0.0,0.0,0.0239234449761,0.0,0.0143540669856,0.0,0.00956937799043,0.0239234449761,0.00478468899522,0.0,0.00478468899522,0.00956937799043,0.0,0.0239234449761,0.0,0.0,0.0,0.0,0.0,4.29186602871,0.305220883534,282.0,0.224880382775,n
Do Ya Thang,Rihanna,48.0,56.0,5.0,12.0,28.0,12.0,10.0,45.0,76.0,2.0,0.0740740740741,0.021164021164,0.0291005291005,0.0026455026455,0.00793650793651,0.0132275132275,0.015873015873,0.031746031746,0.0238095238095,0.0,0.0,0.0026455026455,0.0026455026455,0.0,0.0,0.0026455026455,0.0,0.0,0.0,0.0026455026455,0.0,0.00793650793651,0.0026455026455,0.134920634921,0.0026455026455,0.0714285714286,0.00529100529101,0.00793650793651,0.0026455026455,0.0,3.48148148148,0.325699745547,129.75,0.0978835978836,n
