title,artist,average characters,uniqueness,num long words,im,like,na,got,oh,know,dont,love,get,go,baby,let,girl,make,wan,yeah,want,youre,cause,see,one,cant,gon,say,aint,time,never,right,take,way
lean wit it rock wit it,dem franchize boyz,4.01834862385,0.415137614679,0.0,0.0,0.0137614678899,0.00688073394495,0.00688073394495,0.0137614678899,0.00229357798165,0.00229357798165,0.00688073394495,0.0,0.00688073394495,0.00229357798165,0.0,0.0,0.0,0.00688073394495,0.00688073394495,0.00229357798165,0.0,0.0,0.0,0.0045871559633,0.0,0.0,0.0114678899083,0.0,0.00917431192661,0.00229357798165,0.0,0.00688073394495,0.00229357798165,0.0
what hurts the most,rascal flatts,4.875,0.642857142857,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.00892857142857,0.00892857142857,0.0,0.00892857142857,0.00892857142857,0.0,0.00892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857,0.0,0.0,0.0,0.0267857142857,0.0,0.0,0.0267857142857,0.0,0.0178571428571,0.0
how to save a life,the fray,4.99404761905,0.440476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571,0.0,0.0,0.0,0.0416666666667,0.0,0.00595238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.00595238095238,0.0,0.0238095238095,0.0,0.0,0.0178571428571,0.0,0.0,0.0,0.0178571428571,0.0,0.0
unfaithful,rihanna,4.39682539683,0.444444444444,0.0,0.0,0.031746031746,0.0,0.0899470899471,0.0,0.0,0.042328042328,0.0846560846561,0.015873015873,0.00529100529101,0.00529100529101,0.0,0.0,0.00529100529101,0.0,0.0846560846561,0.015873015873,0.0,0.0,0.00529100529101,0.026455026455,0.0,0.00529100529101,0.00529100529101,0.00529100529101,0.0,0.015873015873,0.0,0.00529100529101,0.021164021164,0.0
chasing cars,snow patrol,5.10476190476,0.67619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714,0.0285714285714,0.0190476190476,0.0190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952380952381,0.0,0.0,0.0,0.00952380952381,0.0,0.00952380952381,0.00952380952381,0.0,0.0,0.0
lips of an angel,hinder,5.01418439716,0.432624113475,0.0,0.0,0.0,0.0,0.0283687943262,0.00709219858156,0.0,0.00709219858156,0.00709219858156,0.0,0.0,0.0,0.0,0.0,0.0425531914894,0.0496453900709,0.0283687943262,0.0,0.0,0.0141843971631,0.00709219858156,0.0,0.0,0.00709219858156,0.0,0.0283687943262,0.0,0.0,0.0425531914894,0.00709219858156,0.0,0.0
everytime we touch,cascada,4.60465116279,0.403100775194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077519379845,0.0077519379845,0.0,0.0232558139535,0.015503875969,0.0,0.015503875969,0.0,0.0077519379845,0.0,0.0,0.0387596899225,0.0,0.0,0.0,0.0,0.0542635658915,0.0,0.0,0.0,0.0852713178295,0.0,0.0,0.0,0.0
aint no other man,christina aguilera,4.51914893617,0.425531914894,0.0,0.0,0.00425531914894,0.0,0.0,0.0553191489362,0.00851063829787,0.00851063829787,0.00425531914894,0.0,0.0,0.0,0.0,0.0,0.0170212765957,0.0,0.0,0.0255319148936,0.0127659574468,0.0468085106383,0.00425531914894,0.00425531914894,0.00851063829787,0.0,0.0,0.0,0.0808510638298,0.00425531914894,0.0,0.0,0.0,0.0
dance dance,fall out boy,5.0,0.454545454545,0.0,0.0,0.00606060606061,0.0,0.0,0.0,0.0,0.0,0.0242424242424,0.0606060606061,0.0181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818181818,0.00606060606061,0.0,0.0,0.00606060606061,0.00606060606061,0.0,0.00606060606061,0.0,0.0181818181818,0.0,0.0,0.0,0.0424242424242
gold digger,kanye west featuring jamie foxx,4.35294117647,0.459893048128,0.0,0.0,0.00534759358289,0.00534759358289,0.0,0.0374331550802,0.00267379679144,0.00802139037433,0.00534759358289,0.00267379679144,0.0775401069519,0.0427807486631,0.0106951871658,0.0,0.0508021390374,0.00267379679144,0.0,0.00267379679144,0.00802139037433,0.0,0.00267379679144,0.00267379679144,0.00802139037433,0.00802139037433,0.0,0.00534759358289,0.0374331550802,0.0,0.0,0.00267379679144,0.00802139037433,0.00267379679144
money maker,ludacris featuring pharrell,4.55639097744,0.426065162907,0.0,0.0,0.0100250626566,0.0551378446115,0.00250626566416,0.0225563909774,0.00250626566416,0.0200501253133,0.0250626566416,0.0,0.0325814536341,0.0,0.0,0.00250626566416,0.00501253132832,0.00501253132832,0.00250626566416,0.0,0.0275689223058,0.0,0.00250626566416,0.0125313283208,0.0,0.0,0.0,0.0,0.00250626566416,0.0,0.0,0.00751879699248,0.00501253132832,0.00250626566416
ms new booty,bubba sparxxx featuring ying yang twins,4.81023454158,0.347547974414,0.0,0.0,0.00426439232409,0.00426439232409,0.00213219616205,0.00639658848614,0.0,0.0,0.00852878464819,0.00213219616205,0.0746268656716,0.00639658848614,0.00426439232409,0.00852878464819,0.00213219616205,0.00852878464819,0.0,0.00213219616205,0.00213219616205,0.0,0.0,0.0170575692964,0.0,0.0,0.00426439232409,0.0,0.00639658848614,0.0,0.0,0.0255863539446,0.00213219616205,0.00213219616205
when you gonna give it up to me,sean paul featuring keyshia cole,4.38461538462,0.671794871795,0.0,0.0,0.00512820512821,0.00512820512821,0.0461538461538,0.0102564102564,0.0,0.0205128205128,0.0102564102564,0.0102564102564,0.00512820512821,0.00512820512821,0.00512820512821,0.00512820512821,0.025641025641,0.00512820512821,0.0102564102564,0.025641025641,0.0102564102564,0.0,0.0205128205128,0.0153846153846,0.00512820512821,0.00512820512821,0.0358974358974,0.0,0.0,0.00512820512821,0.0,0.00512820512821,0.0,0.0
