title,artist,average characters,uniqueness,num long words,I,n't,love,'s,'m,like,You,know,night,And,na,baby,got,yeah,oh,But,get,Oh,wan,'re,go,bum,We,want,ya,way,Do,one,It,take,popular
Kiss It Better,Rihanna,4.06463878327,0.206395348837,0.0,0.0,0.0266159695817,0.00760456273764,0.0,0.0,0.0,0.0228136882129,0.0114068441065,0.00760456273764,0.0380228136882,0.0,0.00380228136882,0.0152091254753,0.0114068441065,0.0,0.0,0.0,0.00760456273764,0.0456273764259,0.0,0.00380228136882,0.0,0.0,0.0,0.0,0.00760456273764,0.0,0.0,0.00760456273764,0.0,0.0532319391635,1
Love on the Brain,Rihanna,4.61751152074,0.366812227074,0.0,0.0,0.0506912442396,0.0184331797235,0.0460829493088,0.0,0.0,0.0322580645161,0.00460829493088,0.0,0.0,0.0552995391705,0.0,0.0,0.0322580645161,0.0138248847926,0.0,0.0,0.0414746543779,0.00921658986175,0.0,0.0,0.0,0.0,0.0,0.00460829493088,0.0,0.00921658986175,0.0184331797235,0.0,0.00921658986175,0.0,1
Loveeeeeee Song,Rihanna,4.11029411765,0.36496350365,0.0,0.0,0.132352941176,0.0404411764706,0.0367647058824,0.0,0.0441176470588,0.0,0.0110294117647,0.0110294117647,0.0,0.0183823529412,0.0257352941176,0.00735294117647,0.0,0.0,0.0,0.0,0.0,0.00367647058824,0.0257352941176,0.0,0.0,0.0,0.00367647058824,0.0147058823529,0.0,0.0,0.0147058823529,0.00367647058824,0.0,0.0,1
Man Down,Rihanna,3.64266666667,0.314855875831,0.0,0.0,0.0826666666667,0.0213333333333,0.0,0.0106666666667,0.0106666666667,0.0,0.0,0.00533333333333,0.00266666666667,0.0106666666667,0.008,0.0,0.0,0.0,0.0,0.00266666666667,0.00533333333333,0.0373333333333,0.00266666666667,0.00266666666667,0.0,0.144,0.0,0.0,0.0,0.0,0.00266666666667,0.0,0.00266666666667,0.0,1
Needed Me,Rihanna,4.11731843575,0.410628019324,0.0,0.0,0.0446927374302,0.0223463687151,0.00558659217877,0.0167597765363,0.00558659217877,0.00558659217877,0.0335195530726,0.0,0.0,0.0,0.0,0.0223463687151,0.0,0.0,0.0,0.0223463687151,0.0111731843575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335195530726,0.0111731843575,0.0,0.0,0.0,0.0,1
Only Girl (In The World),Rihanna,3.54248366013,0.220543806647,0.0,0.0,0.0947712418301,0.00326797385621,0.0228758169935,0.0130718954248,0.0849673202614,0.0424836601307,0.0,0.0196078431373,0.016339869281,0.00326797385621,0.00326797385621,0.00653594771242,0.0,0.00980392156863,0.0,0.0,0.0,0.00980392156863,0.00326797385621,0.0,0.0,0.0,0.0,0.00326797385621,0.0,0.0,0.0,0.0686274509804,0.0,0.00980392156863,1
Pon De Replay,Rihanna,3.81303116147,0.239554317549,0.0,0.0,0.00849858356941,0.0339943342776,0.0,0.0,0.00849858356941,0.0,0.0056657223796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113314447592,0.0,0.0,0.0,0.00849858356941,0.0,0.0,0.0056657223796,0.0169971671388,0.0,0.0,0.0,0.0056657223796,0.0,1
Pour It Up,Rihanna,3.65505226481,0.25219941349,0.0,0.0,0.0836236933798,0.00348432055749,0.00348432055749,0.0418118466899,0.00348432055749,0.0,0.0,0.00348432055749,0.0,0.00696864111498,0.0,0.0,0.0557491289199,0.0,0.0418118466899,0.0,0.00348432055749,0.01393728223,0.0,0.0,0.00696864111498,0.0,0.0,0.00348432055749,0.0,0.0,0.0,0.0,0.0,0.0,1
Rehab,Rihanna,3.64705882353,0.219873150106,0.0,0.0,0.120098039216,0.0171568627451,0.00490196078431,0.0269607843137,0.0147058823529,0.0343137254902,0.00735294117647,0.00490196078431,0.0,0.0147058823529,0.0196078431373,0.0171568627451,0.0196078431373,0.0,0.0539215686275,0.00245098039216,0.00735294117647,0.0171568627451,0.0147058823529,0.0416666666667,0.0171568627451,0.0,0.0,0.0,0.0,0.0122549019608,0.00490196078431,0.00980392156863,0.0220588235294,0.00490196078431,1
Right Now,Rihanna,4.01570680628,0.284974093264,0.0,0.0,0.0314136125654,0.0471204188482,0.0,0.00523560209424,0.00523560209424,0.0,0.00523560209424,0.0,0.00523560209424,0.0418848167539,0.00523560209424,0.00523560209424,0.0785340314136,0.00523560209424,0.0,0.0314136125654,0.0628272251309,0.0,0.00523560209424,0.0,0.00523560209424,0.0,0.0314136125654,0.0,0.0,0.0314136125654,0.0,0.0,0.0,0.00523560209424,1
Rockstar 101,Rihanna,3.7397260274,0.259900990099,0.0,0.0,0.0876712328767,0.0109589041096,0.0,0.0,0.0547945205479,0.0,0.00547945205479,0.0,0.0219178082192,0.0109589041096,0.0,0.106849315068,0.00821917808219,0.0,0.0,0.0,0.0027397260274,0.0575342465753,0.0,0.0,0.0,0.0,0.0,0.0,0.0219178082192,0.0,0.0,0.0,0.0,0.0027397260274,1
Rude Boy,Rihanna,3.96284829721,0.156701030928,0.0,0.0,0.0371517027864,0.0061919504644,0.0557275541796,0.0,0.0,0.0216718266254,0.0,0.0,0.0,0.0,0.0030959752322,0.0681114551084,0.0061919504644,0.00928792569659,0.0,0.0,0.0402476780186,0.0,0.0030959752322,0.0,0.0030959752322,0.0,0.0,0.0743034055728,0.00928792569659,0.0061919504644,0.0030959752322,0.0,0.0,0.0804953560372,1
Russian Roulette,Rihanna,4.26436781609,0.747368421053,0.0,0.0,0.0459770114943,0.0,0.0,0.0,0.0,0.0,0.0114942528736,0.0114942528736,0.0,0.0229885057471,0.0,0.0,0.0,0.0,0.0,0.0114942528736,0.0229885057471,0.0,0.0,0.0,0.0114942528736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114942528736,1
S.O.S. (Rescue Me),Rihanna,4.09536082474,0.302961275626,0.0,0.0,0.0773195876289,0.020618556701,0.00257731958763,0.0335051546392,0.0515463917526,0.00515463917526,0.0154639175258,0.0128865979381,0.00773195876289,0.00515463917526,0.0,0.0,0.0515463917526,0.00257731958763,0.0128865979381,0.00257731958763,0.00257731958763,0.00257731958763,0.0,0.00257731958763,0.0,0.0,0.0,0.0,0.0,0.0128865979381,0.0,0.00515463917526,0.0103092783505,0.00257731958763,1
Sex With Me,Rihanna,4.6265060241,0.441747572816,0.0,0.0,0.0301204819277,0.0,0.00602409638554,0.00602409638554,0.0,0.0301204819277,0.00602409638554,0.0240963855422,0.0120481927711,0.0180722891566,0.0,0.0,0.00602409638554,0.0,0.0,0.0,0.0180722891566,0.0,0.0,0.0,0.00602409638554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Shut Up And Drive,Rihanna,3.88257575758,0.330097087379,0.0,0.0,0.0492424242424,0.0113636363636,0.0,0.0227272727273,0.0189393939394,0.00757575757576,0.00757575757576,0.0454545454545,0.0113636363636,0.00378787878788,0.0113636363636,0.0113636363636,0.0227272727273,0.0,0.0,0.0,0.0,0.0,0.0113636363636,0.00378787878788,0.0681818181818,0.0,0.0,0.0,0.0,0.0,0.00378787878788,0.00378787878788,0.00378787878788,0.0,1
Stay,Rihanna,3.96753246753,0.487341772152,0.0,0.0,0.0714285714286,0.0194805194805,0.0,0.025974025974,0.00649350649351,0.0194805194805,0.0,0.0194805194805,0.0,0.0194805194805,0.0,0.0,0.0,0.0,0.0,0.00649350649351,0.0,0.012987012987,0.0,0.012987012987,0.012987012987,0.0,0.0,0.025974025974,0.0,0.038961038961,0.0,0.0194805194805,0.0194805194805,0.025974025974,1
Take A Bow,Rihanna,4.28813559322,0.450261780105,0.0,0.0,0.0169491525424,0.0112994350282,0.00564971751412,0.0621468926554,0.0,0.00564971751412,0.0169491525424,0.0112994350282,0.0,0.00564971751412,0.0,0.0,0.0112994350282,0.0282485875706,0.0,0.0508474576271,0.00564971751412,0.0225988700565,0.0,0.045197740113,0.0225988700565,0.0,0.0,0.0,0.0,0.0,0.0112994350282,0.00564971751412,0.0,0.0169491525424,1
Talk That Talk,Rihanna,3.84507042254,0.350931677019,0.0,0.0,0.0704225352113,0.0,0.00704225352113,0.0,0.0,0.0457746478873,0.0105633802817,0.0211267605634,0.0176056338028,0.00352112676056,0.00352112676056,0.0387323943662,0.0105633802817,0.0633802816901,0.0,0.0,0.0176056338028,0.0,0.00352112676056,0.0,0.00352112676056,0.0,0.00352112676056,0.0246478873239,0.0,0.0,0.0,0.0,0.0,0.0,1
Umbrella,Rihanna,4.3908045977,0.417808219178,0.0,0.0,0.0344827586207,0.00766283524904,0.00383141762452,0.0498084291188,0.0,0.0,0.0459770114943,0.00383141762452,0.0,0.0114942528736,0.0,0.00766283524904,0.0,0.0,0.0,0.00383141762452,0.0,0.0,0.0,0.00383141762452,0.00383141762452,0.0,0.00766283524904,0.0,0.0,0.0,0.0,0.0,0.0191570881226,0.0,1
Unfaithful,Rihanna,3.57083333333,0.357723577236,0.0,0.0,0.166666666667,0.0791666666667,0.0125,0.00416666666667,0.025,0.0,0.0,0.0333333333333,0.0,0.025,0.0708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666666667,1
We Found Love,Rihanna,4.26993865031,0.300613496933,0.0,0.0,0.0490797546012,0.0122699386503,0.0981595092025,0.0122699386503,0.0122699386503,0.0,0.0,0.0,0.0,0.0122699386503,0.0,0.0,0.0122699386503,0.0,0.0,0.0122699386503,0.0,0.0,0.0,0.0122699386503,0.0122699386503,0.0,0.0981595092025,0.0,0.0,0.0122699386503,0.0,0.0,0.0122699386503,0.0122699386503,1
What Now,Rihanna,3.58490566038,0.356828193833,0.0,0.0,0.174528301887,0.0801886792453,0.00471698113208,0.0188679245283,0.0283018867925,0.00943396226415,0.0,0.0566037735849,0.0,0.00943396226415,0.0141509433962,0.0,0.0,0.0,0.0283018867925,0.0141509433962,0.00471698113208,0.0,0.0141509433962,0.0,0.0141509433962,0.0,0.0,0.0,0.0,0.0,0.0,0.00943396226415,0.0188679245283,0.0,1
What's My Name?,Rihanna,3.71739130435,0.514925373134,0.0,0.0,0.0565217391304,0.00434782608696,0.0,0.0565217391304,0.0,0.00434782608696,0.0173913043478,0.0130434782609,0.00434782608696,0.00434782608696,0.0869565217391,0.0,0.0173913043478,0.0,0.0,0.00869565217391,0.00434782608696,0.0,0.0130434782609,0.00869565217391,0.0130434782609,0.0,0.0,0.00434782608696,0.0,0.00434782608696,0.0,0.0,0.00434782608696,0.00869565217391,1
Where Have You Been,Rihanna,4.69672131148,0.225609756098,0.0,0.0,0.0655737704918,0.0,0.0245901639344,0.0,0.0,0.0,0.00819672131148,0.0,0.0245901639344,0.0,0.0,0.00819672131148,0.0,0.0245901639344,0.0327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131148,0.0,0.00819672131148,0.0,0.0,0.0,0.0,1
Work,Rihanna,3.97011494253,0.27731092437,0.0,0.0,0.0574712643678,0.00689655172414,0.00229885057471,0.00459770114943,0.00459770114943,0.00689655172414,0.016091954023,0.00459770114943,0.0,0.0,0.00229885057471,0.0,0.00459770114943,0.0,0.00229885057471,0.00459770114943,0.0114942528736,0.0,0.00229885057471,0.00229885057471,0.00229885057471,0.0,0.00459770114943,0.0,0.0,0.00229885057471,0.00229885057471,0.00229885057471,0.0,0.0,1
You Da One,Rihanna,3.36470588235,0.211488250653,0.0,0.0,0.126470588235,0.0176470588235,0.0823529411765,0.0117647058824,0.0235294117647,0.0117647058824,0.0882352941176,0.0235294117647,0.0,0.00294117647059,0.00294117647059,0.00588235294118,0.00588235294118,0.0,0.0,0.0,0.00588235294118,0.0,0.00294117647059,0.0,0.00588235294118,0.0,0.0,0.0,0.0117647058824,0.0,0.0,0.0970588235294,0.0,0.00294117647059,1
As Real as You and Me,Rihanna,3.78571428571,0.405940594059,0.0,0.0,0.0918367346939,0.0,0.0,0.0816326530612,0.0,0.0,0.0,0.0510204081633,0.0,0.0102040816327,0.0,0.0,0.0,0.0,0.0,0.0510204081633,0.0,0.0,0.0,0.0,0.0204081632653,0.0,0.0204081632653,0.0,0.0,0.0,0.0,0.0,0.030612244898,0.0102040816327,0
Breakin' Dishes,Rihanna,4.1724137931,0.275,0.0,0.0,0.127586206897,0.0551724137931,0.0,0.00344827586207,0.048275862069,0.0,0.0,0.0241379310345,0.0137931034483,0.00689655172414,0.0,0.00344827586207,0.0,0.0,0.0103448275862,0.00689655172414,0.00344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00344827586207,0
Close To You,Rihanna,4.41176470588,0.460869565217,0.0,0.0,0.0882352941176,0.0686274509804,0.0392156862745,0.0196078431373,0.0294117647059,0.0,0.00980392156863,0.0196078431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745,0.0,0.0,0.0,0.0196078431373,0.0490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cockiness (Love It),Rihanna,3.68856447689,0.370454545455,0.0,0.0,0.199513381995,0.00486618004866,0.160583941606,0.00243309002433,0.00486618004866,0.00729927007299,0.00973236009732,0.0,0.0,0.0121654501217,0.00729927007299,0.0,0.00486618004866,0.0,0.0,0.00486618004866,0.0,0.0,0.00243309002433,0.0,0.00486618004866,0.0,0.00243309002433,0.00973236009732,0.00729927007299,0.00973236009732,0.00243309002433,0.00973236009732,0.0,0.0,0
Cold Case Love,Rihanna,3.88489208633,0.673758865248,0.0,0.0,0.0719424460432,0.0287769784173,0.0431654676259,0.0287769784173,0.0143884892086,0.0,0.0,0.00719424460432,0.0,0.0287769784173,0.0,0.0,0.00719424460432,0.0,0.0,0.0287769784173,0.0,0.0,0.0,0.0,0.0,0.0,0.0215827338129,0.0,0.0,0.00719424460432,0.0,0.00719424460432,0.00719424460432,0.0,0
Complicated,Rihanna,4.2319391635,0.263333333333,0.0,0.0,0.0988593155894,0.0114068441065,0.06463878327,0.00380228136882,0.0114068441065,0.0152091254753,0.0456273764259,0.00380228136882,0.0,0.00760456273764,0.0266159695817,0.0190114068441,0.0,0.0,0.0,0.0190114068441,0.00760456273764,0.0304182509506,0.0266159695817,0.0532319391635,0.0,0.0,0.0,0.0,0.00760456273764,0.0,0.0,0.0,0.0,0.0,0
Consideration,Rihanna,4.0752688172,0.434146341463,0.0,0.0,0.0913978494624,0.0430107526882,0.0,0.0,0.0,0.0,0.0161290322581,0.00537634408602,0.0,0.0,0.0,0.00537634408602,0.010752688172,0.0,0.0,0.0,0.0322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215053763441,0.010752688172,0.0,0.0,0.0,0
Dancing in the Dark,Rihanna,4.32167832168,0.188153310105,0.0,0.0,0.041958041958,0.0314685314685,0.0,0.0,0.0,0.0244755244755,0.0,0.0,0.0629370629371,0.0034965034965,0.0769230769231,0.0,0.0104895104895,0.0,0.0,0.0,0.0,0.0,0.041958041958,0.0,0.0,0.0,0.034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Desperado,Rihanna,4.29186602871,0.305220883534,0.0,0.0,0.0622009569378,0.0813397129187,0.0143540669856,0.0,0.0191387559809,0.0,0.00956937799043,0.00956937799043,0.0,0.00956937799043,0.0239234449761,0.0,0.0,0.0239234449761,0.0,0.0143540669856,0.00956937799043,0.0,0.0239234449761,0.00478468899522,0.00956937799043,0.0,0.00478468899522,0.0239234449761,0.0,0.0,0.0,0.0,0.0,0.00956937799043,0
Do Ya Thang,Rihanna,3.48148148148,0.325699745547,0.0,0.0,0.0740740740741,0.021164021164,0.0291005291005,0.0026455026455,0.00793650793651,0.0132275132275,0.015873015873,0.031746031746,0.0,0.0238095238095,0.0,0.0026455026455,0.0026455026455,0.0,0.0,0.0026455026455,0.0,0.0,0.0,0.0026455026455,0.0026455026455,0.0,0.00793650793651,0.0026455026455,0.134920634921,0.00793650793651,0.0714285714286,0.00529100529101,0.0026455026455,0.0,0
Drunk on Love,Rihanna,3.92613636364,0.343915343915,0.0,0.0,0.136363636364,0.0113636363636,0.0965909090909,0.0,0.00568181818182,0.00568181818182,0.0340909090909,0.0284090909091,0.0,0.0,0.0,0.0,0.00568181818182,0.0170454545455,0.0,0.00568181818182,0.00568181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.00568181818182,0.0,0.00568181818182,0.0,0.0,0.0,0.0170454545455,0
Fading,Rihanna,3.98571428571,0.403361344538,0.0,0.0,0.0714285714286,0.0428571428571,0.0047619047619,0.0333333333333,0.0285714285714,0.0047619047619,0.0190476190476,0.0,0.0047619047619,0.0238095238095,0.0,0.0,0.0047619047619,0.00952380952381,0.0,0.0047619047619,0.0,0.0,0.0,0.0285714285714,0.0047619047619,0.0,0.0,0.0,0.0,0.0190476190476,0.0047619047619,0.0,0.0190476190476,0.0,0
Farewell,Rihanna,3.98536585366,0.367149758454,0.0,0.0,0.0682926829268,0.0341463414634,0.0,0.0682926829268,0.00975609756098,0.0,0.0,0.0243902439024,0.0,0.0243902439024,0.0585365853659,0.0,0.0,0.0,0.0,0.00487804878049,0.0,0.0,0.00975609756098,0.0146341463415,0.0146341463415,0.0,0.0,0.0,0.0,0.00487804878049,0.0,0.0,0.0,0.00487804878049,0
Fire Bomb,Rihanna,3.87007874016,0.42641509434,0.0,0.0,0.0748031496063,0.0433070866142,0.0,0.0314960629921,0.0236220472441,0.0,0.00787401574803,0.011811023622,0.0,0.011811023622,0.011811023622,0.00787401574803,0.00393700787402,0.0,0.0354330708661,0.0,0.011811023622,0.0275590551181,0.011811023622,0.00787401574803,0.00393700787402,0.0,0.00393700787402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
G4L,Rihanna,3.60726072607,0.35691318328,0.0,0.0,0.112211221122,0.016501650165,0.0,0.016501650165,0.0693069306931,0.00990099009901,0.026402640264,0.039603960396,0.0,0.0,0.003300330033,0.0,0.016501650165,0.0,0.003300330033,0.0,0.019801980198,0.00660066006601,0.003300330033,0.003300330033,0.016501650165,0.0,0.029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Get It Over With,Rihanna,4.18666666667,0.275555555556,0.0,0.0,0.0488888888889,0.0266666666667,0.0,0.04,0.0133333333333,0.0,0.00444444444444,0.0,0.0,0.0266666666667,0.0,0.0,0.0,0.0,0.0,0.00888888888889,0.04,0.0,0.0,0.00444444444444,0.0177777777778,0.0,0.0622222222222,0.0,0.0,0.00444444444444,0.0,0.0,0.04,0.0,0
Good Girl Gone Bad,Rihanna,4.05118110236,0.391143911439,0.0,0.0,0.0196850393701,0.0629921259843,0.0,0.00787401574803,0.00787401574803,0.0,0.0196850393701,0.0157480314961,0.0,0.0314960629921,0.0,0.0,0.00787401574803,0.00393700787402,0.011811023622,0.0,0.00393700787402,0.0,0.0,0.00787401574803,0.0275590551181,0.0,0.0157480314961,0.00393700787402,0.0,0.0,0.011811023622,0.0,0.0,0.00393700787402,0
Goodnight Gotham,Rihanna,4.10424710425,0.0135440180587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505791505792,0.0,0.0,0.0,0.0,0.0,0.235521235521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Half Of Me,Rihanna,4.28368794326,0.446808510638,0.0,0.0,0.0851063829787,0.00709219858156,0.00709219858156,0.0425531914894,0.0212765957447,0.0,0.0283687943262,0.0212765957447,0.0,0.0425531914894,0.0,0.0,0.0,0.0,0.0,0.0283687943262,0.0,0.0141843971631,0.0,0.00709219858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Higher,Rihanna,3.64130434783,0.707070707071,0.0,0.0,0.130434782609,0.0108695652174,0.0108695652174,0.0326086956522,0.0434782608696,0.0,0.0217391304348,0.0108695652174,0.0108695652174,0.0217391304348,0.0108695652174,0.0,0.0108695652174,0.0,0.0,0.0217391304348,0.0,0.0,0.0108695652174,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0108695652174,0
James Joint,Rihanna,3.84375,0.628571428571,0.0,0.0,0.078125,0.078125,0.03125,0.0,0.0,0.015625,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.015625,0.0,0.0,0.015625,0.03125,0.0,0.0,0.0625,0.0,0.0,0.0,0
Jump,Rihanna,3.80952380952,0.246341463415,0.0,0.0,0.0446428571429,0.0357142857143,0.00595238095238,0.0357142857143,0.00892857142857,0.00892857142857,0.0267857142857,0.014880952381,0.0,0.00297619047619,0.00297619047619,0.0,0.014880952381,0.0,0.0,0.00297619047619,0.00595238095238,0.0,0.0,0.0,0.00595238095238,0.0,0.0,0.0178571428571,0.0,0.00297619047619,0.00595238095238,0.0,0.00595238095238,0.0,0
Lost In Paradise,Rihanna,3.99065420561,0.472222222222,0.0,0.0,0.121495327103,0.0,0.0373831775701,0.00934579439252,0.0280373831776,0.00934579439252,0.0,0.00934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785,0.0,0.0,0.0,0.0,0.0,0.0373831775701,0.00934579439252,0
Love The Way You Lie (Part II),Rihanna,4.33432835821,0.513736263736,0.0,0.0,0.0686567164179,0.0,0.0417910447761,0.00298507462687,0.0,0.0119402985075,0.00298507462687,0.00298507462687,0.00298507462687,0.00597014925373,0.0208955223881,0.00298507462687,0.0,0.00298507462687,0.0,0.0238805970149,0.0,0.0,0.00298507462687,0.00298507462687,0.0,0.0,0.0,0.0,0.0,0.044776119403,0.0,0.0,0.00298507462687,0.00298507462687,0
Love Without Tragedy / Mother Mary,Rihanna,4.17490494297,0.468864468864,0.0,0.0,0.0836501901141,0.0304182509506,0.0266159695817,0.041825095057,0.0266159695817,0.00380228136882,0.0114068441065,0.00380228136882,0.00380228136882,0.00760456273764,0.00380228136882,0.0,0.00760456273764,0.0,0.0,0.00380228136882,0.0,0.00760456273764,0.00380228136882,0.0,0.00380228136882,0.0,0.0,0.0,0.0,0.00380228136882,0.0,0.00380228136882,0.0,0.0,0
Mad House,Rihanna,2.95402298851,0.172661870504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919540229885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229885057471,0.0,0.0,0.0,0.0,0.0,0.0,0.0114942528736,0
Never Ending,Rihanna,4.70338983051,0.446153846154,0.0,0.0,0.0932203389831,0.0169491525424,0.0508474576271,0.0338983050847,0.0,0.0,0.0,0.0,0.0,0.0169491525424,0.0,0.0,0.0,0.0,0.00847457627119,0.0,0.0169491525424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169491525424,0.0,0
No Love Allowed,Rihanna,4.2375,0.393442622951,0.0,0.0,0.0583333333333,0.00416666666667,0.0416666666667,0.025,0.025,0.00416666666667,0.0,0.0,0.0,0.0166666666667,0.0,0.0,0.0,0.208333333333,0.0,0.00416666666667,0.00416666666667,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.00416666666667,0.0,0.00416666666667,0.00833333333333,0.0125,0.0,0
