title,artist,average characters,uniqueness,num long words,I,n't,'m,'s,know,like,got,You,And,'re,get,love,na,nigga,yeah,But,ai,go,back,gon,want,time,bitch,wan,need,make,one,Yeah,way,let,popular
Drowning,A Boogie Wit da Hoodie,4.03373493976,0.285714285714,0.0,0.0,0.161445783133,0.021686746988,0.0939759036145,0.0192771084337,0.00481927710843,0.021686746988,0.00481927710843,0.0,0.0,0.0,0.00240963855422,0.0,0.00240963855422,0.00963855421687,0.0,0.0,0.00963855421687,0.0168674698795,0.0,0.00481927710843,0.0,0.0,0.0289156626506,0.00240963855422,0.00240963855422,0.00481927710843,0.0,0.0,0.00240963855422,0.00240963855422,1
No Favors,Big Sean,4.42344827586,0.492027334852,0.0,0.0,0.0772413793103,0.0151724137931,0.0262068965517,0.0179310344828,0.00275862068966,0.0193103448276,0.0124137931034,0.00413793103448,0.0151724137931,0.0,0.00689655172414,0.0,0.0,0.00275862068966,0.0,0.00551724137931,0.00689655172414,0.00413793103448,0.00137931034483,0.00137931034483,0.00137931034483,0.00137931034483,0.00413793103448,0.0,0.0151724137931,0.0137931034483,0.0,0.0,0.0,0.0,1
I Don't Wanna Live Forever,Zayn & Taylor Swift,3.83972125436,0.268608414239,0.0,0.0,0.12543554007,0.0209059233449,0.00696864111498,0.00696864111498,0.0104529616725,0.00348432055749,0.00348432055749,0.0,0.0104529616725,0.0,0.0,0.00348432055749,0.0627177700348,0.0,0.0,0.0,0.0,0.0,0.0452961672474,0.0,0.0,0.0,0.0,0.0627177700348,0.0,0.0,0.00348432055749,0.0,0.0,0.0,1
Rolex,Ayo & Teo,4.14933333333,0.249433106576,0.0,0.0,0.141333333333,0.00533333333333,0.00533333333333,0.00533333333333,0.0,0.016,0.024,0.0,0.0,0.0,0.0,0.00533333333333,0.0,0.0,0.016,0.0,0.0,0.00266666666667,0.0,0.0,0.048,0.0,0.00266666666667,0.0,0.00266666666667,0.0,0.0,0.0133333333333,0.00533333333333,0.0,1
Run Up,Major Lazer,3.87861271676,0.485788113695,0.0,0.0,0.0606936416185,0.0173410404624,0.014450867052,0.00867052023121,0.00867052023121,0.0115606936416,0.00867052023121,0.014450867052,0.00867052023121,0.0,0.00578034682081,0.0028901734104,0.00578034682081,0.0,0.0115606936416,0.0,0.00867052023121,0.0028901734104,0.0,0.0231213872832,0.0028901734104,0.00867052023121,0.0,0.0,0.00578034682081,0.0,0.0,0.0028901734104,0.0,0.0028901734104,1
Kill A Word,Eric Church,3.45416666667,0.396825396825,0.0,0.0,0.0875,0.0208333333333,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.00416666666667,0.0,0.0,0.00833333333333,0.0,0.0,0.0,0.00833333333333,0.0,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416666666667,0.0,0.00416666666667,1
Look At Me!,XXXTENTACION,3.51131221719,0.322807017544,0.0,0.0,0.0633484162896,0.027149321267,0.0316742081448,0.00452488687783,0.0,0.0407239819005,0.0180995475113,0.00452488687783,0.0,0.0,0.0,0.00904977375566,0.00452488687783,0.0,0.0361990950226,0.0,0.0,0.0,0.0,0.0,0.0135746606335,0.0,0.0542986425339,0.00452488687783,0.0,0.0,0.0,0.0135746606335,0.0,0.0,1
Nothings Into Somethings,Drake,4.9512195122,0.609523809524,0.0,0.0,0.0731707317073,0.0487804878049,0.0365853658537,0.0121951219512,0.0121951219512,0.0121951219512,0.0121951219512,0.0121951219512,0.0,0.0,0.0121951219512,0.0,0.0,0.0,0.0,0.0121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365853658537,0.0,1
Scars To Your Beautiful,Alessia Cara,4.46511627907,0.34628975265,0.0,0.0,0.00387596899225,0.0348837209302,0.0,0.046511627907,0.0193798449612,0.0,0.0,0.015503875969,0.0232558139535,0.0736434108527,0.0,0.0,0.0,0.0,0.0,0.00387596899225,0.0,0.0116279069767,0.0,0.0,0.00387596899225,0.0077519379845,0.0,0.0,0.0,0.0,0.0,0.0,0.0116279069767,0.00387596899225,1
Shape Of You,Ed Sheeran,4.30540540541,0.266666666667,0.0,0.0,0.0810810810811,0.00810810810811,0.0621621621622,0.00540540540541,0.00540540540541,0.027027027027,0.0,0.0027027027027,0.0243243243243,0.0027027027027,0.0027027027027,0.0675675675676,0.0,0.0,0.0,0.0,0.0,0.00540540540541,0.0,0.0,0.00540540540541,0.0,0.0,0.0,0.0,0.0027027027027,0.0,0.0,0.0,0.00810810810811,1
I'm Better,Missy Elliott,3.74879227053,0.305010893246,0.0,0.0,0.159420289855,0.00724637681159,0.0893719806763,0.00966183574879,0.0048309178744,0.0217391304348,0.036231884058,0.00724637681159,0.0048309178744,0.0,0.0048309178744,0.0,0.012077294686,0.0,0.0024154589372,0.0048309178744,0.0024154589372,0.0048309178744,0.0024154589372,0.0,0.0,0.0,0.0,0.012077294686,0.0024154589372,0.0048309178744,0.0,0.012077294686,0.0,0.0,1
Dirty Laundry,Carrie Underwood,4.29166666667,0.392,0.0,0.0,0.0509259259259,0.0277777777778,0.0324074074074,0.00925925925926,0.00462962962963,0.00462962962963,0.0,0.0185185185185,0.00925925925926,0.0,0.00925925925926,0.0,0.0185185185185,0.0,0.0,0.0,0.0185185185185,0.0,0.0,0.0185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00462962962963,0.0,0.0,1
Speak To A Girl,Tim McGraw & Faith Hill,4.38333333333,0.346153846154,0.0,0.0,0.0,0.0222222222222,0.0,0.116666666667,0.0,0.0,0.0,0.0166666666667,0.0166666666667,0.0277777777778,0.0166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777778,0.0,0.0,0.0,0.00555555555556,0.0,0.0,0.0,0.0,0.0,1
