Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Close To You,Rihanna," Nothing but a tear, that's all for breakfast Watching you pretend you're unaffected You're pulling our connections, expecting me to let you go But I won't  I know you don't need my protection But I'm in love, can't blame me for checking I love in your direction, hoping that the message goes  Somewhere close to you Close to you Like so close if they hurt you, you wouldn't find out Just say now, I'm coming right now to be close to you  Said you let it go, you kept it Working hard to perfect it But now your fear is reckless, and it's out of your control Well just let it go  I know you don't need my protection But I'm in love, can't blame me for checking I love in your direction, hoping that the message goes  Somewhere close to you Close to you Like so close, if they hurt you, you wouldn't find out If you let me, I'd be there by now Close to you ",n,168,3.22,94.58,95.13,79.89,168.00,15.48,97.02,64.88,30.36,24.40,8.93,0.60,13.69,0.00,1.19,4.76,1.79,12.50,11.90,7.14,6.55,4.76,25.00,1.19,0.00,0.00,0.00,0.60,8.93,5.95,2.98,0.60,1.19,1.19,21.43,0.00,0.00,0.00,0.00,16.67,2.98,0.60,5.95,4.17,1.79,5.95,3.57,0.60,1.19,1.79,2.98,0.00,0.00,0.00,0.60,7.14,4.17,0.60,0.60,0.60,1.19,1.19,19.64,2.98,19.05,4.17,12.50,2.38,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.60,0.00,16.67,0.00,7.74,0.00,0.00,0.00,0.00,0.00,0.00,8.93,0.00,0.00
Cockiness (Love It),Rihanna," Pretty motherfucker with the mossberg Jiggy motherfucker at my concerts Im wearin fox furs, rockin oxfords Eatin oxtails , sippin cockspur Silly motherfuckers lookin awkward So much dick ridin that my cock hurt , we runnin clockwork So we got purp, and we got work Tell Ri-Ri I go Re-retarded On a remix had to re-record it On a CD, DVD, and TV, MP3 come see me for it I go cuckoo for your coucou Your flying fish is my favorite dish Won't hear crickets when I crick it Hit it play games like soccer when we kick it Get it?  Suck my cockiness Lick my persuasion Eat my words And then swallow your pride down, down Place my wants and needs Over your resistance And then you come around You come around You come around  I want you to be my sex slave Anything that I desire Be one with my femin-ay Set my whole body on fire They mad at Rihanna game Taking over your empire She may be the queen of hearts But I'm gonna be the queen of your body parts  No one can do ya The way that I do Boy I wa-a-ant  I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it  Suck my cockiness Lick my persuasion Eat my words And then swallow your pride down, down Place my wants and needs Over your resistance And then you come around You come around You come around  I can be your dominatrix Just submit to my every order Enter my diamond matrix If you want my golden flower Make me your priority There's nothing above my pleasure She may be the queen of hearts But I'm gonna be the queen of your body parts  No one can do ya The way that I do Boy I wa-a-ant  I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it  Homie don't beat it like a bullet Beat my drum drum Like a drum line boogie  Dive head first if you wanna Sing to my body Hold me tight mister lover  Do it like I do it Like I said Keep it up, boy We can do this all day Be my Harlem And me St. Tropez Never found nobody That will do it this way  No one can do ya The way that I do Boy I wa-a-ant  I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it, I love it I love it when you eat it I love it when you eat it I love it when you eat it",n,698,1.00,85.87,80.77,99.00,232.67,4.01,91.98,61.17,40.97,24.21,15.47,0.72,7.59,0.29,0.14,16.76,2.15,5.30,5.01,6.16,7.31,1.15,13.75,0.43,0.72,4.58,0.72,0.57,11.60,10.74,0.86,0.14,0.57,0.14,20.92,0.00,0.29,0.86,0.72,3.44,0.43,0.14,1.43,0.86,0.57,0.57,1.43,0.14,0.57,0.43,16.19,1.43,0.00,0.72,5.01,15.47,10.74,1.58,3.44,0.72,0.00,0.72,12.61,1.86,11.46,1.86,3.72,5.73,0.14,1.72,0.00,0.00,0.00,0.00,2.15,1.29,0.72,0.00,0.00,0.00,6.45,0.14,4.01,0.00,0.00,0.14,0.00,1.43,0.00,0.72,0.00,0.00
Cold Case Love,Rihanna," On my roof Dark and I'm burning a rose I don't need proof I'm torn apart & you know What you did to me was a crime Cold Case Love And I let you reach me one more time But that's enough  Your love was breaking the law But I needed a witness So wake me up when it's over It don't make any difference Will it ever be solved Or am I taking the fall? Truth was there all along Tell me how did we miss it  We opened up a cold case love And it got the best of us And now prints, pictures & white outlines Are all that's left at the scene of a crime Of a cold case love  Should've investigated But love blinded eyes Couldn't see  And then I tried to cage it But your love ain't the kind you can keep Release me now cause I did my time Of this cold case love My heart's no longer cold & confined I've had enough   We lost our way Took this too far Now I'll never find the pieces of my heart We've lost enough Looking for a truth That was here all along ",n,197,11.85,47.97,68.30,91.62,98.50,6.60,89.34,57.36,21.83,15.74,9.64,3.05,3.05,0.00,0.00,6.09,6.60,7.61,13.71,5.58,7.11,3.05,22.84,5.58,2.03,1.52,0.51,3.05,7.11,5.58,1.52,0.00,0.00,1.52,10.15,0.00,0.00,0.00,0.00,13.71,1.52,2.03,2.03,1.02,4.06,4.06,6.60,3.55,0.00,3.05,5.58,1.52,0.51,0.00,0.00,12.69,6.60,2.54,2.54,2.03,0.00,9.14,12.18,1.52,10.66,0.51,5.58,4.57,1.52,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.64,0.00,0.51,0.00,0.00,0.51,0.00,0.00,0.00,7.11,0.00,1.52
Complicated,Rihanna,"] You're not easy to love You're not easy to love, no You're not easy to love You're not easy to love, no  Why is everything with you so complicated? Why do you make it hard to love you? Oh, I hate it Cause if you really wanna be alone I will throw my hands up, cause baby, I tried But everything with you is so complicated Oh, why?  Sometimes I get you Sometimes I don't understand Sometimes I love you Sometimes it's you I can't stand Sometimes I wanna hug you Sometimes I wanna push you away Most times I wanna kiss you Other times punch you in the face  Cause every minute you start switching up And you say things like you don't give a fuck Then I say I'm through with you Take my heart from you And you come runnin after me and baby I'm back with you  You're not easy to love You're not easy to love, no You're not easy to love You're not easy to love, no  Why is everything with you so complicated? Why do you make it hard to love you? Oh, I hate it Cause if ya really wanna be alone I will throw my hands up, cause baby, I tried But everything with you is so complicated Oh, why?  Sometimes I catch you Sometimes you get away Sometimes I read you Other times I'm like, ""Where are you on the page?"" Sometimes I feel like we will be together forever But you're so complicated, my heart knows better  Why is everything with you so complicated? Why do you make it hard to love you? Oh, I hate it Cause if ya really wanna be alone I will throw my hands up, cause baby, I tried But everything with you is so complicated Oh, why?   I'mma stick around just a little while longer Just to make sure that you're really sure you like sleeping alone  Why is everything with you so complicated? Why do you make it hard to love you? Oh, I hate it Cause if you really wanna be alone I will throw my hands up, cause baby, I tried But everything with you is so complicated Oh, why? ] You're not easy to love You're not easy to love, no You're not easy to love You're not easy to love, no",n,392,2.75,93.37,82.17,99.00,28.00,8.67,98.47,63.78,27.55,22.19,8.42,0.26,13.52,0.00,0.00,5.36,1.02,10.97,12.76,7.91,5.87,5.36,19.39,8.93,1.79,3.32,0.00,0.51,11.48,8.93,2.55,0.00,1.28,1.28,22.70,1.28,0.00,0.00,0.00,24.74,3.06,6.63,2.81,3.83,3.06,7.40,2.81,0.00,0.51,2.30,6.63,2.04,0.00,0.26,0.00,8.67,5.36,1.28,1.28,1.02,0.00,1.02,16.58,3.57,10.46,1.79,3.83,5.10,0.26,0.00,0.00,0.00,0.00,0.00,4.59,0.26,0.51,0.00,2.04,0.00,16.07,0.00,6.12,0.00,0.00,3.32,0.00,0.00,0.51,5.61,0.00,0.51
Consideration,Rihanna," I came fluttering in from Neverland Time can never stop me, no, no, no, no I know you've tried to I came riding in on a pale white horse Handing out highs to less fortunate I do advise you Run it back, run it on back When you breaking it down for me Cause I can't hear you, two times Run it on back, will it ever make sense to me?  I got to do things my own way darling Will you ever let me Will you ever respect me? No Do things my own way darling You should just let me Why you ain't ever let me grow?  When I look outside my window I can't get no piece of mind When I look outside my window I can't get no peace of mind  Let me cover your shit in glitter I could make it gold, gold Heard you tryna sell your soul, baby Word on the street, you run it low lately I needed you to please give my reflection a break From the face it’s seeing now Ooh darling, gahhlee Would you mind giving my reflection a break From the pain it’s feeling now?  I got to do things my own way darling You should just let me Will you ever respect me? No Do things my own way darling You should just let me Why you ain't ever let me grow?  When I look outside my window I can't get no piece of mind When I look outside my window I can't get no peace of mind ] Get no piece Get no peace Get, get, getting no peace Can't get no peace ",n,276,6.22,19.23,99.00,91.03,39.43,7.97,91.30,61.96,25.36,20.65,14.13,0.00,6.52,0.00,0.00,4.71,2.17,9.78,10.14,8.33,1.81,8.33,22.83,0.72,0.36,2.54,0.36,1.45,6.16,5.07,1.09,0.00,0.36,0.36,10.51,0.36,1.81,0.00,0.00,11.59,1.81,1.81,2.17,0.36,2.54,2.90,3.99,2.17,0.72,0.72,1.09,0.72,0.36,0.00,0.00,6.52,0.00,0.36,1.45,4.35,0.36,2.90,15.94,1.45,18.48,3.26,7.97,7.61,0.36,0.00,1.45,0.36,0.36,0.00,0.72,0.36,0.36,0.00,0.00,0.00,11.23,0.00,4.71,0.00,0.00,2.17,0.00,0.00,0.00,3.99,0.00,0.36
Dancing in the Dark,Rihanna,"  I wanna dance in the dark  We gonna light up the night  I wanna dance in the dark  We gonna light up the night  Underdogs dance in the middle of the night Can see the night skies in the mirror of your eyes If you don't dance make sure you got the rhythm Make sure that your heartbeat beats with the rhythm I wanna run wild in the middle of the night Right under the moon, bodies glowing in the night Nothing in between our skins but the rhythm Make sure that your heartbeat beats with the rhythm The night-time is the right time  I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark  Underdogs dance in the middle of the night Out here with the stars like the creatures of the night If you don't dance make sure you got the rhythm Make sure that your heartbeat beats with the rhythm I wanna dance fast in the middle of the night And see the night skies in the mirror of your eyes If you don't dance make sure you got the rhythm Make sure that your heartbeat beats with the rhythm The night-time is the right time  I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark  I wanna dance in the dark  We gonna light up the night  I wanna dance in the dark  We gonna light up the night  I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark I wanna dance in the dark and never stop We gonna light up the night like shooting stars Whenever you hear the sound don't be alarmed Move move move Dancing in the dark",n,412,91.84,90.49,99.00,29.84,412.00,8.25,93.93,52.67,10.92,9.95,2.91,2.67,4.37,0.00,0.00,0.97,14.81,13.59,7.28,3.16,4.13,3.88,17.48,0.97,2.67,1.46,0.00,0.00,3.16,1.70,1.46,1.46,0.00,0.00,13.83,0.00,0.00,0.00,0.00,8.98,0.00,1.70,3.64,0.73,3.40,0.97,10.44,7.52,2.91,0.00,0.73,0.73,0.00,0.00,0.00,15.78,8.01,0.00,4.13,0.73,2.91,0.73,12.62,5.34,35.19,12.62,10.44,12.38,0.00,5.34,0.00,0.00,0.00,0.00,5.34,0.00,2.43,0.00,0.00,0.00,2.91,0.00,0.24,0.00,0.00,0.00,0.00,0.49,0.00,2.18,0.00,0.00
Desperado,Rihanna," Desperado Sittin' in an old Monte Carlo A man whose heart is hollow Mhm, take it easy I'm not tryna go against yuh Actually, I'm goin' witcha  Gotta get up out of here And yuh ain't leavin' me behind I know you won't cause we share common interests You need me, there ain't no leaving me behind Never, no, no, I just want outta here, yeah Once I'm gone, ain’t no going back  If you want, we can be runaways Running from any sight of love Yeah, yeah, there ain’t nothin' There ain't nothin' here for me There ain't nothin' here for me anymore But I don't wanna be alone  Desperado Sitting on your ole' Monte Carlo We've both had our hearts broke Unh, hunh, take it easy I'm not tryna go against yuh I can be a lone wolf witcha  Gotta get up out of here And you ain't leaving me behind I know you won't cause we share common interests You need me, there ain't no leaving me behind Never, no, no, both want outta here, yeah Once we're gone, ain’t no going back  If you want, we can be runaways Running from any sight of love Yeah, yeah, there ain’t nothin' There ain't nothin' here for me There ain't nothin' here for me anymore But I don't wanna be alone  Dear desperado Yeah, I don't wanna be alone Dear desperado Yeah, I don't wanna be alone  If you want, we can be runaways Running from any sight of love Yeah, yeah, there ain’t nothin' There ain't nothin' here for me There ain't nothin' here for me anymore But I don't wanna be alone  Yeah-yeah-ah Yeah-yeah-ah Yeah-yeah-ah Yeah-yeah-ah Yeah-yeah-ah Yeah-yeah-ah",n,294,3.13,8.69,77.38,37.82,294.00,7.48,89.46,56.46,16.33,14.29,8.50,2.72,3.06,0.00,0.00,2.04,1.02,8.84,16.67,9.18,2.72,11.56,23.13,3.06,0.00,0.34,0.68,1.70,6.80,3.74,3.06,0.00,0.00,2.38,9.52,0.00,0.68,0.68,0.34,16.67,0.68,0.68,5.10,2.72,0.68,8.84,1.02,1.02,0.00,0.00,1.70,0.68,0.00,0.00,0.00,7.14,5.10,0.00,0.68,1.36,0.00,1.70,19.73,3.74,12.59,4.08,5.10,3.40,0.00,1.02,0.00,0.00,0.00,0.00,13.61,0.00,2.38,9.86,2.04,0.00,27.21,0.00,9.18,0.00,0.00,0.00,0.00,4.08,0.00,13.95,0.00,0.00
Do Ya Thang,Rihanna," Know I'm missin that kissin in the rover Boy what a feelin', never feel about another I need you why can't you come over and You're my lover but I love you like a brother Babe you the one at the end of the day You are who you are, and I love you that way Lust ain't love if ya know the difference Rattle up the game on ya Caught up in your feelings We together like... You know that Ima do whatever Im not gone leave  This kind of love dont' come easy  We don't care what they think babe Promise we'll stay the same Say that you stay right here for me  See I know you like bein' 'round chicks And lookin at hips In a little outfits  What can I say Thats what I love about you babe I don't ask cause I know you gon lie And ya way too sexy to ever be shy  What did I say  Thats what I love about ya babe Dont hate Do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang  You da shit ya baby you da bomb Middle of the day gimme what I want It feels so special Feels so good And he ain't goin' no where Even if he could I got that OW, OW You know what im talkin about, 'bout Make a nigga sceam And shout shout Everytime the light go out, out We out, out You know that Ima do whatever I'm not gone leave  This kind of love dont' come easy  Fuck what you think bae Promise we'll stay the same Say that you stay right here for me See I know you like bein' 'round chicks And lookin at hips In a little outfits  What can I say Thats what I love about you babe I don't ask cause I know you gon lie And ya way too sexy to ever be shy  What did I say  Thats what I love about ya babe Dont hate Do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang Do ya thang Do ya thang Do ya do ya do ya thang And I know what your thinkin of That I don't know a thing about love But what I know is That I'm his girl And hes the one for me See this shit ain't worth trippin' over Do ya thing it doesnt matter As long as we gon ride forever Love is all we need See I know you like bein' round chicks And lookin' at hips In a little outfit  What can I say That's what I love about ya babe",n,517,2.37,99.00,53.13,90.04,258.50,4.26,90.14,62.09,32.11,23.98,6.96,1.35,14.70,0.77,0.19,8.12,3.48,7.16,16.05,3.87,3.68,3.29,27.08,3.09,1.35,4.26,0.39,0.39,6.58,5.22,1.35,0.39,0.97,0.00,25.15,0.39,1.74,0.77,1.16,9.28,3.68,0.77,1.16,0.77,1.55,2.13,4.26,1.55,1.74,1.55,4.26,0.97,0.00,0.97,0.00,6.00,4.84,0.00,0.77,0.39,0.00,1.16,25.53,1.35,10.64,3.29,6.58,1.55,0.00,0.19,0.00,0.19,0.00,0.00,12.19,0.77,11.41,0.00,0.00,0.00,6.96,0.58,1.16,0.00,0.00,0.00,0.00,0.00,0.00,5.22,0.00,0.00
Drunk on Love,Rihanna," I feel like I’m a hopeless romantic I can’t help falling in love I fiend for love I want it, I crave it I just can’t get enough  Take me away I wear my heart on my sleeve Always let love take the lead I may be a little naive, yeah  You know I’m drunk on love, drunk on love Nothing can sober me up It’s all that I need  I've been let down But never been tainted So I stay thirsty for more No, I won't hold back No drop is wasted I let love run its course  Take me away I wear my heart on my sleeve Always let love take the lead I may be a little naive, yeah  You know I’m drunk on love, drunk on love Nothing can sober me up You know I’m drunk on love - drunk, drunk on love Nothing can sober me up It’s all that I need  I'm so intoxicated I love the way you taste on my lips, when we kiss You got me so addicted So much I can't resist falling into your arms  Take me away I wear my heart on my sleeve Always let love take the lead I may be a little naive, yeah  You know I’m drunk on love, drunk on love Nothing can sober me up You know I’m drunk on love - drunk, drunk on love Nothing can sober me up It’s all that I need  It’s all that I need It’s all that I need",n,252,13.24,15.10,99.00,99.00,252.00,5.16,95.63,56.75,26.98,21.83,18.25,0.40,3.17,0.00,0.00,5.16,3.17,11.11,13.10,3.17,2.38,4.76,21.43,2.78,0.79,0.40,0.00,2.78,7.94,7.54,0.40,0.00,0.00,0.40,10.71,0.00,0.00,0.00,0.00,14.29,2.38,1.19,2.38,1.19,5.56,1.59,0.79,0.00,0.00,0.40,16.27,3.57,0.79,0.00,5.56,16.27,8.33,1.19,4.76,3.57,0.00,1.19,19.84,1.59,17.06,3.17,12.30,2.38,1.59,4.76,0.00,0.00,0.00,0.00,1.19,0.00,0.00,1.19,0.00,0.00,11.90,0.00,4.37,0.00,0.00,0.00,0.00,0.79,0.00,6.75,0.00,0.00
Fading,Rihanna," You say you love me But they feel like words to me Well this just ain't working Stop thinking you can run over me Drifting, settling Off to a foreign place If I can't see What's in front of me It's a mystery Well then apparently  Things just ain't the same And I'm ready for change Go on, be gone Bye bye, so long  Can't you see that you're fading? Fading, fading Fa-a-ading away Away, away, away I opened up my eyes And I finally realized Today, today It's too late You're fading away  Put a sock in it Just stop running your mouth Got my mind made up I ain't coming back again No way, no way No way, no way Cause I'm so fed up Boy, you got me messed up If we hooking back up Don't press your luck today, today I'm blowing you away, yeah yeah  Things just ain't the same And I'm ready for change Go on, be gone Ta-ta, so long  Can't you see that you're fading? Fading, fading Fa-a-ading away Away, away, away I opened up my eyes And I finally realized Today, today It's too late You're fading away  Saw you turn into a ghost right in front of my eyes Tell me what's a girl to do when she's crying inside? I'm about to go insane, I'm jumping off this train Whether wrong or right, I'll be gone by night  Can't you see that you're fading? Fading, fading Fa-a-ading away Away, away, away I opened up my eyes And I finally realized Today, today It's too late You're fading away",n,276,23.11,39.98,99.00,52.99,55.20,6.52,93.84,59.06,21.74,16.67,9.42,0.36,6.16,0.36,0.36,5.07,3.62,15.94,10.87,7.61,5.43,4.71,22.83,2.54,1.09,1.45,0.00,0.00,2.90,2.17,0.72,0.00,0.00,0.36,9.78,0.00,0.00,0.72,0.36,9.06,1.81,1.45,0.72,2.17,0.00,4.71,4.35,3.26,0.36,0.72,2.54,1.81,0.00,0.00,0.36,6.16,0.72,0.36,2.90,1.09,1.09,3.99,19.20,1.09,35.51,5.43,17.75,13.04,0.36,0.36,0.00,0.00,0.00,0.36,1.45,0.00,0.00,0.72,0.72,0.00,23.19,0.00,8.70,0.00,0.00,1.45,0.00,2.54,0.00,10.51,0.00,0.00
Farewell,Rihanna,Wherever you're going I wanna go Wherever you headed Can you let me know I don't mind catching up I'm on my way I Just can't take the thought of you miles away And I know you're going somewhere to make a better life I hope that you find it on the first try And even though it kills me That you have to go I know it'll be sadder If you never hit the road So farewell Somebody's gonna miss you Farewell Somebody's gonna wish that you were here That somebody's me I will write to tell you what's going on But you won't miss nothing but the same old song If you don't mind catching up I'll spend the day telling you stories about a land far away And I know you're going somewhere to make a better life I hope that you find it on the first try And even though it kills me That you have to go I know it'll be sadder If you never hit the road So farewell! Somebody's gonna miss you Farewell Somebody's gonna wish that you were here Farewell Somebody's gonna miss you Farewell Somebody's gonna wish that you were here That somebody's me And I'm gon' try to hold it all in Try to hold back my tears So it don't make you stay here I'mma try to be a big girl now Cause I don't wanna be the reason you don't leave Farewell Somebody's gonna miss you Farewell Somebody's gonna wish that you were here Farewell Somebody's gonna miss you Farewell Somebody's gonna wish that you were here That somebody's me,n,272,1.80,94.29,87.63,2.68,136.00,12.13,98.53,62.87,31.62,18.38,8.09,0.00,10.29,0.00,0.00,12.50,4.41,6.99,11.40,8.46,6.25,3.68,31.62,2.57,1.84,1.10,0.74,0.37,5.51,1.47,4.04,0.00,0.74,3.31,20.22,0.00,0.00,0.37,0.00,19.85,3.31,1.84,4.41,9.19,1.47,2.94,0.37,0.00,0.37,0.00,0.74,0.00,0.74,0.00,0.00,4.78,0.00,3.31,1.10,1.10,0.00,1.84,19.12,11.03,18.01,7.72,8.09,2.94,0.37,0.37,0.00,0.37,0.00,0.74,4.78,0.00,4.04,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,11.40,0.00,0.00
Fire Bomb,Rihanna," Yeah, whoa  Gunfire left a hole in the tank, losing gasoline Fire is on my trail and he's after me Hope it don't get here before I get where I'm going I gotta get where I'm going Take off my mask to breathe You could've been a part of a masterpiece Fluid in the brakes was the last to leak That's the thing  Where I'm going I don't need my brakes Can't wait to see your face When your front windows break And I come crashing through  The lovers need to clear the road Oh oh Because this thing is ready to blow Oh oh I just wanna set you on fire So I won't have to burn alone Then you Then you'll know where I'm coming from Fire bomb... Fire bomb  Seems cold but baby no it doesn't have to be Microwaving our metal tragedy Watching it burning, it's beautiful and it's blue And it's pitiful and it's blue, it's the other half of me I didn't do it you lit the match for me Now we're flying from the blast baby That's the thing Where we're going we don't need no brakes Can't wait to see your face When your front windows break And I come crashing through  The lovers need to clear the road Oh oh Because this thing is ready to blow Oh oh I just wanna set you on fire So I won't have to burn alone Then you Then you'll know where I'm coming from Fire bomb... Fire bomb  Baby we were killin' em They couldn't handle the millionth degree We were criminals As we were burning, the world called the police Fire department, ambulance You can call me crazy cause I believe The only move for me and you Is to go out blazing  The lovers need to clear the road Oh, oh, oh Cause this thing is ready to blow Oh, oh, oh  I just wanna set you on fire So I won't have to burn alone Then you Then you'll know where I'm coming from Fire bomb Oh oh Fire bomb",n,350,18.32,64.50,54.73,25.77,116.67,7.71,90.57,56.57,20.86,15.14,7.71,2.00,4.86,0.29,0.29,5.71,6.00,10.29,13.43,5.14,6.29,3.71,22.86,4.29,0.86,2.57,0.57,0.29,4.57,2.29,2.29,0.00,0.29,1.71,9.71,0.86,0.86,0.00,0.29,8.00,1.43,1.14,3.14,0.57,0.86,1.43,7.71,2.86,0.00,4.86,1.71,0.86,0.00,0.86,0.00,5.14,2.86,0.29,0.86,1.14,0.29,2.86,16.57,6.86,14.57,3.43,6.57,4.00,0.57,0.00,0.57,0.00,0.00,0.29,6.57,0.00,0.57,0.29,4.57,0.29,13.71,1.71,2.86,0.00,0.00,0.00,0.00,0.00,0.00,9.14,0.00,0.00
G4L,Rihanna," I lick the gun When I'm done Cause I know That revenge is sweet So sweet This is a gang Ladies thang Baby bang Tell me what you need Oh Any mother-fucker wanna disrespect Playing with fire finna get you wet How it feel down there on your knees I got this Girls like a soldier Trip and its going down Down Down  I'm ready to roll Girl I'm with you If they get you, they get me So come on let's go Bitch I'm with you If you with it You with me You know I'm down Down for life Load it, reload it and Lets go Gangster for life Till the day that I die I promise I'm standing high Cause you know that I'm down You know I'm down Gangster for life  We driving by With them headlights off We know where you stay Know what you did We don't play that shit Nigga, we don't play No Everybody cried when you did your dirt Acting like a bitch finna get you hurt Breaking lives down to their knees, oh I got this Girls like a soldier Trip and it's going down Down Down  I'm ready to roll Girl I'm with you If they get you They get me So come on let's go Bitch I'm with you If you with it You with me You know I'm down Down for life Load it, Reload it and Let's go Gangster for life Till the day that I die I promise I'm standing high Cause you know that I'm down You know I'm down Gangster for life  Guns  Girls  Come on We ain't done yet Got a lot to handle We ain't takin over the world yet We're an army Better yet, a navy Better yet, crazy Guns in the air Guns in the air Guns in the air Can't hurt us again when you come around here We got our guns Got our guns We got our guns Got our guns We got our guns In the mother fucking air Oh  I'm down for life Gangster for life I'm down for life Gangster for life You know I'm down Down for life Load it, reload it and Let's go Gangster for life Till the day that I die I promise I'll stand and fight Cause you know that I'm down You know I'm down Gangster for life  I lick the gun When I'm done Cause I know That revenge is sweet",n,415,29.71,92.24,94.50,25.77,415.00,5.78,90.84,59.04,28.92,22.65,9.40,5.06,6.75,0.00,1.45,6.27,4.10,16.14,8.67,4.10,5.06,1.45,21.45,2.17,1.20,1.93,0.00,0.48,6.27,3.13,3.13,0.00,2.17,0.72,16.63,0.72,0.24,1.93,0.00,8.43,3.37,1.45,1.45,1.45,0.96,1.69,2.41,0.00,0.00,1.20,5.06,0.72,3.37,0.24,0.72,15.90,5.30,0.48,6.75,3.86,0.00,3.37,17.35,1.45,17.59,4.10,10.12,3.61,0.00,0.72,0.00,0.00,0.00,0.72,3.13,1.69,0.48,0.00,0.72,0.00,10.12,0.00,1.93,0.00,0.00,0.00,0.00,0.24,0.00,7.95,0.00,0.00
Get It Over With,Rihanna," It's dark in the day I'll say now don't complain Look up the sun is just a cloud away Your so afraid to cry But your heart be feeling dry It's time to change But you keep thundering thundering I'm wondering wondering why you keep thundering Won't you just rain And get it over with  When I feel the pain Now babe I won't complain I hear you say Look up the sun is just a cloud away And now we're so afraid to cry When you need a wave to ride that the way You keep thundering thundering I'm wondering wondering why you keep thundering Won't you just fucking rain And get it over with  And get it over with I see you rolling it Lets get it over with Get high and float again Roll up and go again I see you rolling it Lets get it over with Get high and float again Roll up and go again It's alright We can roll In the clouds Getting high We can float in the clouds It's alright We can roll in the clouds Getting high We can float in the clouds It's alright We can roll on the clouds Getting high We can float in the clouds  Keep thundering thundering I'm wondering wondering why you keep thundering Won't you fucking just rain And get it over with  And get it over with I see you rolling it Lets get it over with Get high and float again Roll up and go again I see you rolling it Lets get it over with Get high and float again Roll up and go again It's alright We can roll In the clouds Getting high We can float in the clouds It's alright We can roll in the clouds Getting high We can float in the clouds It's alright We can roll on the clouds Getting high We can float in the clouds We should be lighting it up We should be lighting it up Started with a lighting It's dark in the day now Say now don't complain Look up the sun is just a cloud away",n,357,37.58,94.46,93.24,11.32,357.00,11.48,91.32,59.38,19.89,12.89,3.08,5.32,4.48,0.00,0.00,7.00,6.72,13.73,10.92,7.28,5.60,1.68,23.53,4.20,0.00,1.40,0.00,0.00,4.48,1.68,2.80,0.56,0.56,0.56,12.04,0.00,0.28,0.00,0.00,4.76,2.24,1.12,0.84,1.68,0.00,0.56,7.28,2.52,3.64,1.12,1.12,0.28,0.28,0.56,0.00,18.49,5.32,0.00,7.84,5.32,0.00,0.28,21.85,1.40,24.93,5.88,12.89,6.16,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.56,0.00,1.68,0.00,0.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,0.00,0.00
