title,artist,average characters,uniqueness,num long words,I,And,n't,'s,'m,know,na,get,Oh,go,'re,'ll,oh,gon,So,see,But,You,When,come,love,la,heart,sky,...,say,'ve,It,feel,world,popular
Army Of One,Coldplay,3.9928057554,0.43137254902,0.0,0.0,0.0719424460432,0.0215827338129,0.0359712230216,0.0143884892086,0.0287769784173,0.0,0.0287769784173,0.0,0.0,0.0,0.0,0.0,0.0,0.0287769784173,0.00719424460432,0.0,0.00719424460432,0.0,0.0,0.00719424460432,0.0,0.0,0.0215827338129,0.0,0.0,0.0143884892086,0.00719424460432,0.00719424460432,0.0,0.0215827338129,0
Careful Where You Stand,Coldplay,3.47706422018,0.322580645161,0.0,0.0,0.183486238532,0.0366972477064,0.0,0.0183486238532,0.0550458715596,0.0,0.0,0.0,0.0,0.0,0.0275229357798,0.0,0.0,0.0,0.00917431192661,0.0,0.0,0.0,0.00917431192661,0.0,0.0183486238532,0.0,0.0,0.0,0.0,0.0,0.0,0.0183486238532,0.045871559633,0.0,0
Cemeteries of London,Coldplay,5.30303030303,0.666666666667,0.0,0.0,0.020202020202,0.0505050505051,0.0,0.0,0.0,0.010101010101,0.0,0.0,0.0,0.030303030303,0.0,0.0,0.0,0.0,0.010101010101,0.020202020202,0.010101010101,0.0,0.0,0.010101010101,0.0,0.0,0.010101010101,0.0,0.0,0.010101010101,0.0,0.0,0.0,0.0,0
Charlie Brown,Coldplay,4.82352941176,0.621621621622,0.0,0.0,0.00980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.00980392156863,0.0,0.0,0.0,0.00980392156863,0.00980392156863,0.0,0.0,0.0294117647059,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.00980392156863,0
Chinese Sleep Chant,Coldplay,5.80392156863,0.153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colour Spectrum,Coldplay,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Death And All His Friends,Coldplay,4.43835616438,0.407407407407,0.0,0.0,0.0821917808219,0.013698630137,0.0,0.013698630137,0.0,0.0,0.0547945205479,0.013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.041095890411,0.0,0.0,0.0,0.0,0.041095890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Don't Let It Break Your Heart,Coldplay,4.05050505051,0.551401869159,0.0,0.0,0.030303030303,0.040404040404,0.010101010101,0.0,0.0,0.0,0.010101010101,0.0,0.020202020202,0.0,0.030303030303,0.0,0.10101010101,0.010101010101,0.0,0.0,0.0,0.0,0.020202020202,0.0,0.0,0.0,0.0505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Everglow,Coldplay,4.34965034965,0.541666666667,0.0,0.0,0.0559440559441,0.041958041958,0.00699300699301,0.0,0.0,0.027972027972,0.00699300699301,0.0,0.020979020979,0.020979020979,0.0,0.0,0.0,0.00699300699301,0.013986013986,0.00699300699301,0.020979020979,0.0,0.020979020979,0.020979020979,0.00699300699301,0.0,0.0,0.0,0.0,0.013986013986,0.0,0.0,0.00699300699301,0.013986013986,0
Fly On,Coldplay,4.02597402597,0.556962025316,0.0,0.0,0.0649350649351,0.012987012987,0.0,0.012987012987,0.012987012987,0.012987012987,0.0,0.0,0.0,0.0,0.012987012987,0.012987012987,0.0,0.0,0.012987012987,0.0,0.0,0.0,0.0,0.0,0.012987012987,0.0,0.0,0.025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0
Glass of Water,Coldplay,4.6347826087,0.585365853659,0.0,0.0,0.0173913043478,0.0347826086957,0.0173913043478,0.0,0.0,0.0,0.0,0.0,0.00869565217391,0.0,0.00869565217391,0.0,0.0,0.0,0.00869565217391,0.0347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00869565217391,0.0,0.0,0.0,0.0,0
God Put A Smile Upon Your Face,Coldplay,3.54054054054,0.2875,0.0,0.0,0.0608108108108,0.0405405405405,0.0135135135135,0.0202702702703,0.0202702702703,0.0202702702703,0.0,0.0,0.00675675675676,0.0337837837838,0.0135135135135,0.0,0.00675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027,0.0135135135135,0.0202702702703,0.0,0.0,0
Green Eyes,Coldplay,3.9603960396,0.47572815534,0.0,0.0,0.138613861386,0.0792079207921,0.0,0.0,0.0,0.029702970297,0.0,0.0,0.0,0.019801980198,0.00990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099009901,0.0,0.00990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198,0.0,0.019801980198,0.0,0
Hurts Like Heaven,Coldplay,4.16568047337,0.552941176471,0.0,0.0,0.0355029585799,0.0236686390533,0.0,0.0532544378698,0.0,0.00591715976331,0.0,0.0118343195266,0.0236686390533,0.0177514792899,0.0,0.0,0.0,0.0,0.00591715976331,0.0,0.0,0.0,0.00591715976331,0.0118343195266,0.0,0.0,0.0236686390533,0.0,0.0,0.0,0.0,0.0236686390533,0.0118343195266,0.0,0
Hypnotised,Coldplay,4.0390625,0.514492753623,0.0,0.0,0.1328125,0.0078125,0.0078125,0.03125,0.078125,0.0,0.0078125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0,0
In My Place,Coldplay,3.72641509434,0.296296296296,0.0,0.0,0.11320754717,0.0188679245283,0.0283018867925,0.0,0.0,0.0,0.0,0.0,0.00943396226415,0.0188679245283,0.0,0.00943396226415,0.0283018867925,0.0,0.0,0.0,0.00943396226415,0.0,0.0,0.0188679245283,0.0,0.0,0.0,0.0,0.00943396226415,0.0,0.0,0.0,0.0,0.0,0
Kaleidoscope,Coldplay,5.82142857143,0.935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Life In Technicolor,Coldplay,4.23364485981,0.550847457627,0.0,0.0,0.0373831775701,0.00934579439252,0.0747663551402,0.0467289719626,0.0,0.0,0.0,0.0,0.0280373831776,0.0280373831776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785,0.0,0.0,0.0,0.00934579439252,0.0,0.0,0.00934579439252,0.0,0.00934579439252,0
Lovers in Japan / Reign Of Love,Coldplay,3.90298507463,0.544117647059,0.0,0.0,0.089552238806,0.0,0.00746268656716,0.0,0.0223880597015,0.0,0.0149253731343,0.0149253731343,0.0,0.0149253731343,0.0298507462687,0.0,0.0,0.0149253731343,0.0,0.0298507462687,0.0149253731343,0.0,0.0,0.0149253731343,0.044776119403,0.0,0.0,0.0,0.00746268656716,0.0,0.00746268656716,0.0,0.0149253731343,0.0,0
Miracles,Coldplay,4.11267605634,0.513157894737,0.0,0.0,0.140845070423,0.0281690140845,0.0,0.0,0.056338028169,0.0,0.0,0.0,0.056338028169,0.0,0.0,0.0,0.0,0.0,0.0,0.0140845070423,0.0,0.0,0.0140845070423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422535211268,0
Oceans,Coldplay,3.71428571429,0.434782608696,0.0,0.0,0.0634920634921,0.015873015873,0.0,0.0,0.0634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634920634921,0.0,0.0,0.015873015873,0.0,0.0,0.0,0.0,0.0,0.015873015873,0
Prospekt's March,Coldplay,4.15294117647,0.688888888889,0.0,0.0,0.105882352941,0.0,0.0470588235294,0.0,0.0,0.0,0.0117647058824,0.0235294117647,0.0117647058824,0.0,0.0117647058824,0.0,0.0,0.0,0.0,0.0,0.0352941176471,0.0,0.0117647058824,0.0235294117647,0.0,0.0,0.0,0.0352941176471,0.0,0.0,0.0117647058824,0.0,0.0,0.0,0
Rainy Day,Coldplay,4.21100917431,0.605263157895,0.0,0.0,0.0825688073394,0.0366972477064,0.0,0.00917431192661,0.0183486238532,0.0,0.0,0.0,0.0183486238532,0.0183486238532,0.0183486238532,0.0,0.0,0.0,0.0,0.0,0.0183486238532,0.00917431192661,0.0,0.0642201834862,0.0366972477064,0.0,0.00917431192661,0.00917431192661,0.0,0.0,0.00917431192661,0.0,0.0,0.0,0
