title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,'m,'s,know,like,got,You,And,'re,love,get,na,yeah,But,ai,back,gon,go,wan,want,need,Yeah,time,let,oh,make,way,right,see,average characters,uniqueness,average words,num long words,popular
Glow,Drake,54.0,31.0,1.0,7.0,33.0,8.0,1.0,33.0,6.0,2.0,0.085020242915,0.0080971659919,0.0485829959514,0.0121457489879,0.00404858299595,0.00404858299595,0.0080971659919,0.0080971659919,0.00404858299595,0.0,0.0080971659919,0.00404858299595,0.00404858299595,0.0202429149798,0.0,0.0080971659919,0.0,0.0080971659919,0.0121457489879,0.00404858299595,0.0,0.00404858299595,0.0080971659919,0.0161943319838,0.00404858299595,0.0,0.0,0.0080971659919,0.00404858299595,0.0,4.21052631579,0.529209621993,95.75,0.186234817814,y
Mercy,Shawn Mendes,31.0,22.0,0.0,9.0,28.0,9.0,5.0,27.0,21.0,14.0,0.105504587156,0.0229357798165,0.0642201834862,0.0,0.0045871559633,0.0,0.0183486238532,0.0183486238532,0.0183486238532,0.0045871559633,0.0,0.0,0.0,0.0,0.0045871559633,0.0,0.0,0.0,0.0045871559633,0.0,0.0,0.00917431192661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22935779817,0.348547717842,25.2307692308,0.229357798165,y
Drowning,A Boogie Wit da Hoodie,77.0,50.0,1.0,14.0,60.0,8.0,0.0,75.0,14.0,5.0,0.161445783133,0.021686746988,0.0939759036145,0.0192771084337,0.00481927710843,0.021686746988,0.00481927710843,0.0,0.0,0.0,0.0,0.00240963855422,0.00240963855422,0.0,0.0,0.00963855421687,0.0,0.00481927710843,0.0168674698795,0.00240963855422,0.0,0.00240963855422,0.0,0.0,0.00240963855422,0.0,0.00481927710843,0.00240963855422,0.0,0.00481927710843,4.03373493976,0.285714285714,553.0,0.250602409639,y
No Favors,Big Sean,154.0,111.0,7.0,25.0,64.0,34.0,15.0,74.0,22.0,20.0,0.0772413793103,0.0151724137931,0.0262068965517,0.0179310344828,0.00275862068966,0.0193103448276,0.0124137931034,0.00413793103448,0.0151724137931,0.0,0.0,0.00689655172414,0.0,0.0,0.00551724137931,0.00689655172414,0.00137931034483,0.00137931034483,0.00413793103448,0.0,0.00137931034483,0.0151724137931,0.0,0.00137931034483,0.0,0.0,0.0137931034483,0.0,0.0,0.00137931034483,4.42344827586,0.492027334852,36.962962963,0.271724137931,y
I Don't Wanna Live Forever,Zayn & Taylor Swift,60.0,6.0,3.0,8.0,36.0,8.0,3.0,38.0,14.0,25.0,0.12543554007,0.0209059233449,0.00696864111498,0.00696864111498,0.0104529616725,0.00348432055749,0.00348432055749,0.0,0.0104529616725,0.0,0.00348432055749,0.0,0.0627177700348,0.0,0.0,0.0,0.0452961672474,0.0,0.0,0.0627177700348,0.0,0.0,0.0,0.0,0.0,0.00696864111498,0.0,0.0,0.0,0.00348432055749,3.83972125436,0.268608414239,94.25,0.170731707317,y
Rolex,Ayo & Teo,59.0,74.0,1.0,12.0,23.0,20.0,0.0,53.0,3.0,0.0,0.141333333333,0.00533333333333,0.00533333333333,0.00533333333333,0.0,0.016,0.024,0.0,0.0,0.0,0.00533333333333,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.00266666666667,0.0,0.048,0.00266666666667,0.0133333333333,0.0,0.0,0.0,0.0,0.00533333333333,0.0,0.00266666666667,4.14933333333,0.249433106576,616.0,0.28,y
Run Up,Major Lazer,68.0,61.0,3.0,6.0,41.0,8.0,3.0,31.0,39.0,0.0,0.0606936416185,0.0173410404624,0.014450867052,0.00867052023121,0.00867052023121,0.0115606936416,0.00867052023121,0.014450867052,0.00867052023121,0.0,0.0028901734104,0.00578034682081,0.00578034682081,0.0115606936416,0.0,0.00867052023121,0.0,0.0231213872832,0.0028901734104,0.0,0.0028901734104,0.00578034682081,0.0028901734104,0.00867052023121,0.0028901734104,0.00578034682081,0.0,0.0,0.0028901734104,0.0,3.87861271676,0.485788113695,185.333333333,0.132947976879,y
Kill A Word,Eric Church,44.0,14.0,0.0,8.0,14.0,10.0,3.0,21.0,29.0,0.0,0.0875,0.0208333333333,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.00416666666667,0.0,0.00833333333333,0.0,0.0,0.0,0.00833333333333,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.0,0.00416666666667,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.0,3.45416666667,0.396825396825,267.0,0.0833333333333,y
Look At Me!,XXXTENTACION,35.0,37.0,2.0,12.0,35.0,9.0,0.0,21.0,12.0,0.0,0.0633484162896,0.027149321267,0.0316742081448,0.00452488687783,0.0,0.0407239819005,0.0180995475113,0.00452488687783,0.0,0.0,0.00904977375566,0.0,0.00452488687783,0.0361990950226,0.0,0.0,0.0,0.0,0.0,0.00452488687783,0.0135746606335,0.0,0.0135746606335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51131221719,0.322807017544,32.1,0.0723981900452,y
Nothings Into Somethings,Drake,14.0,12.0,2.0,2.0,10.0,1.0,1.0,7.0,5.0,0.0,0.0731707317073,0.0487804878049,0.0365853658537,0.0121951219512,0.0121951219512,0.0121951219512,0.0121951219512,0.0121951219512,0.0,0.0,0.0,0.0121951219512,0.0,0.0,0.0121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365853658537,0.0,0.0,4.9512195122,0.609523809524,21.3333333333,0.256097560976,y
